millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),bmptemp(*C),bmppres(PA),bmpalt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],NO2[0-1023],CO[0-1023],NH3[0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,
1908169,25.54,76186,11.42,27.08,2344.61,13.91,76556.37,2302.70,12.695,-949.707,229.492,-12.870,-64.519,14.176,-22.950,-43.800,39.150,0,0,0,214,85,4.25,0.08,0.01,0,
1909560,25.54,76095,11.41,27.04,2354.06,13.86,76489.92,2309.64,-4.883,-933.594,241.699,0.863,250.130,-17.496,22.500,-51.450,29.400,0,0,0,214,85,4.27,0.08,0.01,0,
1910946,25.53,76004,11.42,27.04,2363.73,13.81,76387.57,2320.35,78.125,-992.187,71.777,11.718,-116.580,-6.038,-5.700,-54.000,16.500,0,0,0,214,85,4.26,0.08,0.01,0,
1912333,25.53,75911,11.42,27.02,2373.51,13.75,76284.94,2331.10,71.777,-1055.176,179.199,-3.176,19.145,-1.863,-7.200,-53.250,10.950,0,0,0,214,85,4.26,0.08,0.01,0,
1913722,25.52,75821,11.41,27.15,2382.98,13.72,76183.44,2341.74,14.648,-1020.508,83.496,-10.191,-117.099,-1.076,-18.450,-47.700,6.450,0,0,0,214,85,4.25,0.08,0.01,0,
1915107,25.52,75729,11.41,27.11,2392.57,13.67,76115.92,2348.82,123.047,-891.113,-82.520,-8.695,141.084,-0.275,4.500,-35.700,-15.300,0,0,0,214,85,4.27,0.08,0.01,0,
1916491,25.52,75638,11.39,27.02,2402.28,13.60,76016.22,2359.29,30.273,-998.535,-139.648,7.351,170.435,8.641,6.750,-39.150,-12.450,0,0,0,214,85,4.26,0.08,0.01,0,
1917881,25.51,75550,11.38,27.02,2410.93,13.52,75919.28,2369.48,174.805,-1112.793,-111.816,11.504,57.397,17.084,-18.000,-49.650,20.700,0,0,0,215,85,4.26,0.08,0.01,0,
1919267,25.50,75475,11.36,27.09,2419.39,13.41,75858.82,2375.84,-289.062,-915.039,193.359,-23.160,-220.099,-10.122,21.450,-53.100,19.950,0,0,0,213,85,4.25,0.08,0.01,0,
1920654,25.50,75388,11.34,27.08,2428.59,13.35,75764.11,2385.81,-150.391,-877.441,356.445,-13.435,3.275,22.198,-2.850,-55.350,20.250,0,0,0,215,83,4.17,0.08,0.01,0,
1922048,25.49,75303,11.31,27.06,2437.27,13.26,75669.17,2395.82,-189.453,-953.613,430.664,7.542,-250.137,32.298,23.400,-41.700,48.450,0,0,0,214,83,4.16,0.08,0.01,0,
1923434,25.48,75223,11.28,27.01,2445.85,13.20,75574.01,2405.86,-168.457,-972.656,691.894,-26.916,250.130,-3.015,-22.350,-42.900,36.750,0,0,0,215,83,4.16,0.08,0.01,0,
1924820,25.48,75140,11.24,26.97,2454.65,13.16,75511.88,2412.42,161.621,-970.215,-100.098,5.901,-213.664,-9.885,-10.350,-43.800,47.550,0,0,0,215,83,4.15,0.08,0.01,0,
1926210,25.47,75055,11.19,27.13,2463.89,13.10,75419.45,2422.19,-180.176,-980.957,41.016,-14.595,152.656,-14.802,33.450,-45.150,27.750,0,0,0,212,83,4.15,0.08,0.01,0,
1927597,25.46,74967,11.13,27.11,2473.13,13.06,75325.27,2432.16,-136.230,-1015.625,186.523,1.092,85.458,-3.771,0.000,-52.650,4.950,0,0,0,214,83,4.17,0.08,0.01,0,
1928982,25.46,74883,11.08,27.13,2481.85,13.00,75235.25,2441.69,-18.555,-1151.855,239.746,10.412,-122.321,10.069,27.750,-45.750,39.900,0,0,0,214,83,4.16,0.08,0.01,0,
1930369,25.45,74804,11.02,27.18,2490.36,12.99,75174.62,2448.12,-158.691,-1004.883,633.789,-21.183,250.130,-18.069,18.450,-53.850,16.650,0,0,0,215,83,4.16,0.08,0.01,0,
