millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),bmptemp(*C),bmppres(PA),bmpalt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],NO2[0-1023],CO[0-1023],NH3[0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,
1460,16.74,97668,32.85,4.33,308.85,20.27,97805.55,297.23,700.195,-688.965,-130.859,3.939,2.809,21.000,-17.550,-44.100,34.950,0,0,0,239,0,0.00,0.00,0.00,0,
2843,16.71,97670,32.69,4.62,308.76,20.28,97792.09,298.38,658.203,-693.848,-21.484,11.176,8.305,12.687,-16.200,-44.550,37.350,0,0,0,213,0,0.00,0.00,0.00,0,
4226,16.57,97673,32.59,5.18,308.59,20.28,97784.89,299.00,710.449,-736.816,112.793,-7.000,-8.802,7.687,-15.300,-43.350,41.550,0,0,0,207,1,15.15,0.29,0.29,0,
5609,16.53,97672,32.50,5.76,308.59,20.29,97779.74,299.44,895.508,-489.746,-104.980,-7.924,7.092,-43.038,-26.550,-37.800,34.500,0,0,0,204,2,22.44,0.42,0.30,0,
6996,16.53,97673,32.42,6.30,308.59,20.30,97763.86,300.80,882.812,-538.086,-218.750,-6.840,-21.786,9.679,-27.900,-37.950,32.400,0,0,0,204,2,17.83,0.34,0.24,0,
8377,16.56,97672,32.36,6.89,308.76,20.30,97754.22,301.63,920.898,-423.828,146.484,16.443,2.573,-6.779,-25.800,-30.900,45.750,0,0,0,204,2,14.79,0.28,0.20,0,
9760,16.59,97671,32.32,7.42,308.68,20.30,97749.61,302.02,-635.742,-806.152,-117.676,4.618,-8.809,101.305,21.750,-44.550,34.500,0,0,0,210,2,12.63,0.24,0.17,0,
11147,16.62,97673,32.27,7.92,308.59,20.31,97743.19,302.57,-835.449,-370.605,-357.910,11.840,12.802,-0.687,43.200,-21.300,27.600,0,0,0,191,2,11.03,0.21,0.15,0,
12530,16.64,97674,32.26,8.42,308.50,20.31,97732.91,303.45,-735.351,-466.797,-448.730,2.137,4.687,-1.130,43.050,-24.150,21.900,0,0,0,225,2,9.78,0.18,0.13,0,
13913,16.67,97674,32.24,8.89,308.50,20.31,97724.74,304.15,510.742,-845.215,-284.180,-0.115,-14.092,3.634,-9.300,-49.800,31.350,0,0,0,197,2,8.79,0.17,0.12,0,
15299,16.70,97674,32.25,9.32,308.59,20.30,97720.07,304.56,456.055,-706.543,-388.672,2.519,-9.496,5.611,-13.050,-49.800,19.650,0,0,0,187,2,7.98,0.15,0.11,0,
16686,16.72,97673,32.24,9.73,308.76,20.30,97718.45,304.69,277.832,-213.379,-1005.371,2.695,0.038,7.809,-22.350,-27.600,-10.650,0,0,0,162,3,10.96,0.21,0.12,0,
18070,16.74,97671,32.23,10.15,308.76,20.29,97713.61,305.11,207.520,-64.941,-908.203,-1.947,4.519,7.908,-22.650,-24.150,-12.750,0,0,0,133,3,10.11,0.19,0.11,1,
19472,16.76,97671,32.20,10.56,308.76,20.26,97709.33,305.48,289.551,-105.469,-930.664,-0.870,8.260,17.229,-22.650,-25.350,-12.450,0,0,0,226,3,9.37,0.18,0.10,0,
20856,16.78,97670,32.17,10.93,308.68,20.24,97707.30,305.65,348.633,57.617,-937.012,-1.275,3.160,0.084,-26.550,-18.300,-11.550,0,0,0,221,4,11.66,0.22,0.11,0,
22237,16.80,97671,32.15,11.25,308.68,20.20,97704.50,305.89,369.629,115.723,-888.184,-0.664,1.550,-10.687,-26.550,-17.100,-11.250,0,0,0,195,5,13.65,0.26,0.12,0,
23620,16.82,97672,32.14,11.66,308.68,20.15,97702.94,306.02,326.172,152.344,-992.676,11.237,1.649,1.435,-26.550,-16.350,-12.300,0,0,0,195,5,12.84,0.24,0.11,0,
25008,16.83,97671,32.11,11.94,308.76,20.10,97700.41,306.24,280.762,148.926,-921.387,-5.771,5.267,0.756,-27.000,-16.350,-13.050,0,0,0,204,5,12.12,0.23,0.10,0,
26390,16.85,97671,32.08,12.40,308.76,20.07,97698.81,306.38,412.598,142.578,-884.766,4.435,-3.450,15.664,-29.250,-14.850,-11.850,0,0,0,200,5,11.48,0.22,0.10,0,
27773,16.86,97671,32.05,12.59,308.76,20.02,97699.26,306.34,262.207,142.090,-946.777,13.847,5.313,-30.176,-28.050,-12.900,-11.850,0,0,0,215,5,10.90,0.21,0.09,0,
29161,16.88,97670,31.98,13.00,308.93,19.96,97698.28,306.42,252.441,71.777,-956.543,-1.382,6.328,5.870,-26.700,-12.750,-12.450,0,0,0,205,5,10.38,0.20,0.09,0,
30544,16.89,97670,31.93,13.28,308.85,19.91,97697.14,306.52,296.875,13.672,-937.988,7.252,1.687,-33.817,-28.200,-10.500,-12.750,0,0,0,197,5,9.91,0.19,0.08,0,
31927,16.90,97671,31.88,13.48,308.76,19.88,97696.80,306.55,121.094,103.516,-966.309,-49.214,0.176,-96.588,-26.100,-7.800,-15.300,0,0,0,215,5,9.47,0.18,0.08,0,
33313,16.91,97671,31.80,13.71,308.76,19.83,97696.21,306.60,-374.512,44.922,-921.875,10.008,-16.527,-60.618,1.350,21.300,-19.500,0,0,0,274,5,9.08,0.17,0.08,0,
34697,16.93,97671,31.74,14.02,308.85,19.79,97695.53,306.66,-431.152,-226.562,-861.328,14.260,0.450,10.282,18.300,12.300,-19.050,0,0,0,255,6,10.46,0.20,0.08,0,
36079,16.94,97670,31.68,14.26,308.85,19.72,97694.82,306.72,154.785,23.926,-988.281,-27.893,-5.214,-38.992,-25.050,-5.250,-12.600,0,0,0,362,6,10.05,0.19,0.08,0,
37464,16.95,97670,31.63,14.29,308.76,19.68,97694.60,306.74,121.094,-152.344,-955.566,-19.687,-1.336,-3.840,-23.700,-10.950,-11.550,0,0,0,620,6,9.68,0.18,0.07,0,
38847,16.96,97671,31.63,14.38,308.76,19.62,97694.05,306.79,203.613,-274.414,-990.723,20.603,3.183,2.725,-21.450,-15.600,-11.550,0,0,0,491,6,9.33,0.18,0.07,0,
40230,16.98,97672,31.68,14.61,308.76,19.57,97693.25,306.86,14.160,-218.262,-916.992,-27.939,17.824,1.771,-23.400,-7.050,-14.700,0,0,0,376,6,9.01,0.17,0.07,0,
41613,16.99,97671,31.77,14.79,308.76,19.54,97692.88,306.89,198.242,361.328,-906.738,16.427,22.756,-2.282,-22.200,-1.050,-13.800,0,0,0,289,6,8.71,0.16,0.07,0,
42994,17.01,97672,31.84,14.86,308.68,19.50,97692.57,306.91,-319.336,-8.789,-949.219,18.160,-31.687,-71.595,16.650,21.000,-13.800,0,0,0,219,7,9.83,0.19,0.07,0,
44378,17.02,97671,31.92,15.08,308.68,19.46,97691.70,306.99,-191.406,-231.934,-935.059,14.809,3.527,-7.252,14.850,11.550,-19.050,0,0,0,212,7,9.52,0.18,0.07,0,
45761,17.03,97672,32.00,15.04,308.59,19.43,97690.97,307.05,-279.297,-204.590,-920.898,2.603,14.649,2.153,17.400,9.450,-18.750,0,0,0,206,7,9.23,0.17,0.07,0,
47148,17.04,97672,32.05,15.27,308.68,19.40,97690.78,307.07,-231.934,-389.648,-866.699,24.412,14.244,-9.626,16.950,4.200,-20.700,0,0,0,207,7,8.96,0.17,0.06,0,
48531,17.05,97671,32.09,15.45,308.76,19.37,97690.57,307.09,-325.195,-194.824,-918.457,23.748,-53.076,-12.611,13.650,12.900,-19.500,0,0,0,224,8,9.94,0.19,0.07,0,
49914,17.06,97672,32.11,15.60,308.76,19.33,97690.75,307.07,-288.086,-374.023,-923.340,11.084,-2.107,-7.008,15.450,3.750,-21.000,0,0,0,214,8,9.67,0.18,0.06,0,
51301,17.07,97671,32.11,15.82,308.76,19.29,97690.94,307.05,238.281,-170.410,-1175.293,-41.450,-11.427,149.252,-16.350,10.500,-13.950,0,0,0,223,8,9.41,0.18,0.06,0,
52684,17.08,97670,32.10,16.17,308.85,19.26,97691.32,307.02,89.844,169.922,-871.094,26.588,7.565,-6.115,-25.500,0.750,-13.350,0,0,0,229,8,9.16,0.17,0.06,0,
54069,17.10,97670,32.09,16.18,308.85,19.22,97691.75,306.98,185.547,16.602,-982.910,8.260,-4.939,5.580,-28.050,-1.800,-14.100,0,0,0,273,8,8.92,0.17,0.06,0,
55459,17.11,97670,32.07,16.33,308.85,19.17,97692.53,306.92,163.574,-6.348,-866.211,-2.496,1.489,5.466,-27.150,-1.650,-16.050,0,0,0,219,8,8.70,0.16,0.06,0,
56843,17.12,97671,32.05,16.70,308.76,19.11,97692.91,306.88,167.969,244.141,-1090.820,-8.305,0.267,-0.237,-24.300,4.500,-16.200,0,0,0,700,8,8.48,0.16,0.06,0,
58225,17.13,97671,32.02,16.88,308.76,19.07,97693.33,306.85,171.875,-129.883,-951.660,-12.137,-11.282,-1.168,-26.400,-2.100,-16.800,0,0,0,715,8,8.28,0.16,0.06,0,
59612,17.14,97670,31.95,16.98,308.76,19.03,97693.64,306.82,168.945,59.570,-1024.902,1.992,-4.153,5.878,-26.400,1.650,-16.800,0,0,0,628,8,8.09,0.15,0.05,0,
60995,17.15,97671,31.90,16.99,308.76,18.99,97693.99,306.79,140.137,81.543,-1007.812,1.351,5.962,-2.771,-24.150,0.150,-16.800,0,0,0,468,8,7.90,0.15,0.05,0,
62375,17.16,97671,31.84,17.01,308.68,18.95,97694.40,306.75,156.738,125.977,-947.754,8.313,-7.229,4.878,-27.300,1.050,-16.950,0,0,0,211,8,7.73,0.15,0.05,0,
63759,17.18,97671,31.77,17.15,308.85,18.92,97694.39,306.76,66.406,-187.500,-956.543,8.588,2.237,5.351,-25.500,-8.400,-16.650,0,0,0,325,8,7.56,0.14,0.05,0,
65145,17.19,97670,31.70,17.35,308.76,18.87,97694.41,306.75,192.383,-120.117,-1041.016,-4.557,0.389,-3.435,-25.500,-2.250,-16.200,0,0,0,251,9,8.32,0.16,0.05,0,
66529,17.20,97671,31.63,17.48,308.76,18.82,97694.07,306.78,113.770,-125.000,-1006.836,-3.290,7.344,-8.763,-24.900,-4.350,-18.300,0,0,0,701,9,8.15,0.15,0.05,0,
67912,17.21,97670,31.58,17.58,308.85,18.78,97693.82,306.80,124.512,2.441,-1017.090,-4.107,-0.168,-4.168,-25.350,-1.200,-17.250,0,0,0,705,9,7.98,0.15,0.05,0,
69299,17.22,97669,31.51,17.77,308.93,18.75,97693.91,306.80,141.113,-2.441,-1009.766,-3.351,0.595,-1.305,-26.100,-1.650,-17.250,0,0,0,600,9,7.82,0.15,0.05,0,
70682,17.23,97669,31.48,17.86,308.93,18.71,97694.32,306.76,127.441,19.043,-945.312,-9.099,4.588,-1.023,-25.050,-1.050,-17.700,0,0,0,612,9,7.67,0.14,0.05,0,
72066,17.24,97670,31.47,17.94,308.93,18.65,97694.44,306.75,123.535,72.266,-973.144,-21.779,-5.298,3.863,-28.050,3.750,-13.800,0,0,0,617,9,7.52,0.14,0.05,0,
73451,17.25,97670,31.44,18.08,308.85,18.60,97694.49,306.75,114.258,-27.832,-991.211,-3.740,-0.282,1.802,-26.550,-4.200,-17.400,0,0,0,380,9,7.38,0.14,0.05,0,
74834,17.27,97671,31.44,18.17,308.85,18.57,97694.49,306.75,190.918,-129.395,-945.801,3.832,0.748,-1.924,-28.650,-12.300,-16.050,0,0,0,434,10,8.05,0.15,0.05,0,
76218,17.28,97670,31.43,18.30,308.85,18.51,97694.02,306.79,157.715,-163.086,-981.934,-2.115,1.595,-1.733,-25.650,-14.700,-16.050,0,0,0,362,11,8.69,0.16,0.05,0,
77603,17.29,97670,31.43,18.37,308.85,18.47,97693.99,306.79,255.371,-164.551,-939.941,0.282,1.969,-3.008,-26.700,-14.250,-14.250,0,0,0,389,11,8.53,0.16,0.05,0,
78987,17.30,97670,31.41,18.29,308.85,18.41,97693.36,306.84,329.590,-109.375,-1632.324,-4.344,-0.405,5.832,-25.500,-20.550,-14.100,0,0,0,342,11,8.38,0.16,0.05,0,
80370,17.31,97669,31.42,18.37,308.85,18.38,97693.21,306.86,165.039,-208.008,-948.730,-2.359,-7.901,-0.282,-26.100,-9.600,-16.500,0,0,0,258,11,8.24,0.16,0.05,0,
81754,17.32,97669,31.42,18.64,308.85,18.32,97692.36,306.93,314.453,-176.758,-546.387,16.115,-2.191,30.740,-21.600,-5.400,-17.850,0,0,0,446,11,8.10,0.15,0.05,0,
83138,17.33,97669,31.42,18.83,308.93,18.28,97692.21,306.95,212.402,-32.715,-954.590,1.107,8.458,5.786,-24.600,-8.550,-15.300,0,0,0,387,11,7.96,0.15,0.05,0,
84521,17.34,97669,31.39,19.07,309.02,18.25,97692.33,306.93,94.727,-3.906,-947.754,-3.122,5.672,-4.962,-24.900,-7.050,-16.800,0,0,0,269,11,7.83,0.15,0.04,0,
85905,17.35,97669,31.35,19.17,308.93,18.23,97692.13,306.95,133.301,-78.125,-955.078,-2.328,-1.344,2.618,-23.100,-5.850,-17.550,0,0,0,150,11,7.71,0.15,0.04,0,
87289,17.36,97669,31.30,19.40,308.93,18.21,97692.26,306.94,227.051,-131.836,-1086.914,-8.504,12.725,-4.809,-24.900,-5.850,-14.700,0,0,0,184,11,7.58,0.14,0.04,0,
88673,17.37,97668,31.25,19.62,308.93,18.18,97691.52,307.00,18.555,-552.246,-838.379,-6.328,-15.679,-4.206,-24.900,-26.850,-9.150,0,0,0,246,12,8.14,0.15,0.04,0,
90057,17.38,97669,31.18,19.64,308.93,18.14,97691.17,307.03,-385.254,-245.117,-861.816,14.374,-1.947,-17.168,18.750,9.900,-19.950,0,0,0,211,12,8.02,0.15,0.04,0,
91454,17.38,97669,31.11,19.81,308.93,18.11,97690.60,307.08,-489.258,-382.812,-801.758,-6.084,-2.420,-0.198,23.850,2.850,-17.850,0,0,0,211,12,7.90,0.15,0.04,0,
92838,17.39,97670,31.06,19.94,308.85,18.06,97691.17,307.03,-347.168,-281.738,-911.621,0.061,24.000,28.473,15.450,6.450,-22.800,0,0,0,231,12,7.78,0.15,0.04,0,
94221,17.41,97670,31.01,20.03,308.93,18.03,97690.91,307.06,-190.918,-162.109,-961.426,-14.420,-10.221,-1.328,2.550,11.700,-22.500,0,0,0,209,12,7.66,0.14,0.04,0,
95607,17.41,97670,30.98,20.09,308.85,18.01,97691.83,307.11,-248.535,-455.566,-809.570,5.069,11.863,-15.023,7.950,-3.900,-26.700,0,0,0,211,12,7.55,0.14,0.04,0,
96991,17.42,97670,31.00,20.25,308.85,17.98,97690.14,307.12,-168.945,-541.992,-785.644,-5.618,-6.382,-16.748,6.450,-8.100,-25.950,0,0,0,205,12,7.44,0.14,0.04,0,
98374,17.43,97670,31.02,20.29,308.93,17.96,97689.75,307.15,-205.566,-640.625,-751.465,6.580,5.885,0.092,5.100,-10.650,-25.050,0,0,0,156,13,7.95,0.15,0.04,0,
99760,17.44,97671,31.01,20.43,308.85,17.94,97689.57,307.17,-110.352,-688.476,-687.988,4.046,15.794,6.359,1.200,-15.750,-24.750,0,0,0,255,13,7.84,0.15,0.04,0,
101143,17.44,97670,31.00,20.49,308.85,17.93,97689.58,307.17,-5.859,-741.211,-639.648,6.794,11.076,-6.580,1.200,-19.650,-24.150,0,0,0,74,14,8.33,0.16,0.04,0,
102526,17.44,97671,30.98,20.69,308.85,17.92,97689.21,307.20,39.551,-801.269,-581.543,7.588,-23.092,-4.504,-1.200,-24.900,-21.150,0,0,0,714,14,8.21,0.15,0.04,0,
103909,17.44,97670,30.92,20.81,308.85,17.90,97689.32,307.19,-136.230,-750.000,-532.715,-0.244,3.122,-9.527,-4.200,-26.550,-20.100,0,0,0,249,14,8.10,0.15,0.04,1,
105296,17.45,97669,30.88,20.87,308.93,17.88,97689.91,307.14,-222.656,-970.703,-377.441,-10.710,1.427,7.290,-4.350,-37.350,-15.150,0,0,0,587,14,8.00,0.15,0.04,1,
106680,17.45,97670,30.83,21.00,308.93,17.86,97690.67,307.08,-281.738,-854.980,-379.394,-12.794,26.603,10.221,-3.600,-35.400,-14.850,0,0,0,372,14,7.89,0.15,0.04,0,
108063,17.45,97670,30.77,20.98,308.85,17.82,97691.11,307.04,41.016,-264.160,-598.145,8.763,14.725,-14.695,4.050,-9.150,-24.300,0,0,0,478,14,7.79,0.15,0.04,0,
109450,17.46,97670,30.76,20.94,308.85,17.77,97691.10,307.04,-389.648,-52.734,-922.363,20.550,8.718,-8.878,9.150,15.150,-21.300,0,0,0,270,14,7.69,0.15,0.04,0,
110831,17.47,97670,30.81,20.98,308.93,17.74,97691.66,306.99,-430.176,50.781,-928.223,-8.496,3.191,7.206,4.350,19.800,-21.000,0,0,0,217,14,7.60,0.14,0.04,0,
112215,17.47,97671,30.92,20.89,308.85,17.73,97691.97,306.96,-297.852,-5.859,-943.359,-3.260,4.244,-1.969,4.350,14.850,-21.000,0,0,0,215,14,7.50,0.14,0.04,0,
113601,17.48,97671,31.02,20.96,308.76,17.71,97692.35,306.93,-404.297,-168.945,-895.996,4.496,3.313,-14.137,6.900,9.150,-24.300,0,0,0,246,14,7.41,0.14,0.04,0,
114984,17.49,97671,31.12,20.94,308.85,17.69,97692.86,306.89,-371.582,-2.930,-937.500,4.481,1.000,-12.542,6.750,14.700,-20.850,0,0,0,221,14,7.32,0.14,0.04,0,
116367,17.50,97670,31.19,21.06,308.76,17.67,97692.99,306.88,-288.086,-348.144,-906.250,42.534,27.511,-63.687,7.200,0.450,-25.500,0,0,0,216,14,7.23,0.14,0.04,0,
117753,17.50,97670,31.26,21.17,308.76,17.65,97693.10,306.87,-110.840,-792.969,-585.449,12.985,11.221,11.618,5.850,-18.300,-25.050,0,0,0,341,14,7.15,0.13,0.04,0,
119137,17.51,97670,31.31,21.06,308.85,17.63,97692.99,306.88,-364.258,-643.066,-688.965,-1.397,1.221,-4.221,14.850,-9.600,-23.400,0,0,0,381,14,7.07,0.13,0.04,0,
120520,17.52,97671,31.39,21.11,308.76,17.60,97692.97,306.88,-281.250,-551.758,-706.543,4.084,6.031,1.565,12.000,-16.500,-22.950,0,0,0,224,14,6.98,0.13,0.04,0,
121906,17.53,97672,31.45,21.08,308.68,17.57,97692.92,306.88,-174.805,-661.621,-769.043,-40.137,-25.382,32.534,11.100,-10.950,-25.650,0,0,0,364,14,6.91,0.13,0.03,0,
123287,17.54,97671,31.55,21.15,308.76,17.56,97693.28,306.85,-490.723,-325.684,-792.480,-20.748,-18.763,29.931,17.850,4.350,-21.900,0,0,0,225,14,6.83,0.13,0.03,0,
124670,17.55,97672,31.66,21.15,308.68,17.54,97693.07,306.87,-300.293,-371.582,-886.719,10.183,10.122,-11.122,12.150,3.300,-25.350,0,0,0,204,14,6.75,0.13,0.03,0,
126065,17.56,97670,31.77,20.96,308.76,17.52,97693.01,306.88,-346.680,-667.969,-663.086,-10.443,-27.160,41.672,17.400,-10.200,-22.500,0,0,0,210,14,6.68,0.13,0.03,0,
127449,17.57,97671,31.86,21.15,308.76,17.51,97692.88,306.89,-31.250,-778.809,-617.676,5.840,7.954,-27.924,11.100,-18.300,-23.850,0,0,0,267,14,6.60,0.12,0.03,0,
128832,17.58,97671,31.95,21.30,308.76,17.50,97692.60,306.91,80.566,-800.781,-595.215,0.908,-6.786,-4.221,5.700,-22.200,-21.900,0,0,0,326,15,7.00,0.13,0.03,0,
130214,17.59,97672,32.01,21.21,308.68,17.48,97693.00,306.88,-27.344,-643.066,-794.434,-31.557,-29.389,65.122,11.100,-19.050,-22.500,0,0,0,277,15,6.93,0.13,0.03,0,
131602,17.60,97671,32.09,21.11,308.68,17.47,97692.88,306.89,-291.992,-426.269,-806.152,3.542,12.382,-5.786,14.850,-2.850,-24.750,0,0,0,227,15,6.85,0.13,0.03,0,
132985,17.61,97672,32.18,21.00,308.68,17.45,97693.39,306.84,-389.648,-264.648,-861.328,-0.061,-2.206,13.466,13.950,6.750,-22.500,0,0,0,209,15,6.78,0.13,0.03,0,
134369,17.63,97671,32.31,20.94,308.68,17.44,97692.99,306.88,10.254,1.953,-1097.656,21.878,29.931,88.878,-21.000,10.200,-15.600,0,0,0,180,16,7.16,0.13,0.03,0,
135756,17.64,97672,32.42,21.04,308.68,17.41,97693.54,306.83,185.059,-125.000,-1020.019,-3.611,8.771,5.748,-26.100,-8.550,-16.050,0,0,0,188,16,7.09,0.13,0.03,0,
137139,17.65,97671,32.55,20.98,308.68,17.38,97694.30,306.77,192.383,43.457,-1028.320,3.626,1.679,2.450,-26.400,-2.400,-15.000,0,0,0,249,16,7.01,0.13,0.03,0,
138518,17.66,97672,32.63,21.04,308.68,17.37,97694.66,306.73,98.633,117.676,-974.609,1.206,-5.656,-4.504,-27.300,-4.500,-15.150,0,0,0,237,16,6.94,0.13,0.03,0,
139904,17.67,97671,32.70,21.15,308.68,17.36,97694.28,306.77,83.008,171.387,-626.953,0.473,-7.962,-2.939,-24.600,1.650,-12.450,0,0,0,203,16,6.87,0.13,0.03,0,
141286,17.68,97672,32.73,21.28,308.68,17.35,97694.13,306.78,1.465,49.805,-1074.219,18.137,9.473,11.702,-27.000,-3.000,-10.800,0,0,0,127,16,6.81,0.13,0.03,0,
142669,17.69,97671,32.71,21.41,308.76,17.33,97694.08,306.78,143.555,150.879,-970.703,0.260,1.305,-0.069,-24.300,-9.450,-13.800,0,0,0,741,16,6.74,0.13,0.03,0,
144056,17.70,97671,32.65,21.61,308.76,17.32,97693.94,306.79,79.590,44.922,-1005.859,7.389,13.107,2.588,-17.100,-8.850,-19.050,0,0,0,432,16,6.68,0.13,0.03,0,
145438,17.71,97672,32.60,21.63,308.68,17.32,97693.55,306.83,-3.418,21.973,-1022.461,-8.191,7.763,5.084,-18.750,-9.450,-19.200,0,0,0,378,16,6.61,0.12,0.03,0,
146822,17.72,97672,32.50,21.63,308.59,17.30,97693.97,306.79,22.949,-44.922,-1005.371,1.855,-0.542,5.061,-19.200,-13.350,-17.700,0,0,0,300,16,6.55,0.12,0.03,0,
148208,17.73,97672,32.40,21.70,308.68,17.28,97694.08,306.78,53.711,-100.586,-996.582,-2.450,4.061,-6.794,-20.700,-15.600,-18.150,0,0,0,696,17,6.89,0.13,0.03,0,
149591,17.74,97671,32.33,21.67,308.68,17.27,97694.11,306.78,32.715,-36.621,-992.676,-1.435,-0.924,1.359,-18.600,-15.750,-19.050,0,0,0,281,17,6.83,0.13,0.03,0,
150974,17.75,97671,32.23,21.81,308.76,17.26,97694.39,306.76,44.434,-92.285,-968.262,2.252,1.916,0.519,-21.450,-16.350,-16.650,0,0,0,238,18,7.17,0.14,0.03,0,
152357,17.76,97671,32.16,21.79,308.68,17.24,97694.06,306.78,13.672,-90.820,-989.258,-0.061,5.802,1.458,-18.000,-14.400,-18.150,0,0,0,200,18,7.10,0.13,0.03,0,
153744,17.76,97670,32.08,21.90,308.76,17.22,97694.41,306.75,20.508,-73.242,-1007.324,1.908,1.435,1.450,-19.200,-15.150,-15.900,0,0,0,166,18,7.04,0.13,0.03,0,
155127,17.77,97671,32.02,22.06,308.68,17.21,97694.28,306.77,16.113,-82.031,-1053.711,-2.794,0.336,-12.420,-18.450,-15.150,-17.400,0,0,0,182,18,6.97,0.13,0.03,0,
156511,17.78,97671,31.95,21.99,308.68,17.19,97694.31,306.76,12.207,-43.457,-960.449,0.649,3.328,-3.565,-19.200,-14.850,-18.450,0,0,0,188,19,7.30,0.14,0.03,0,
157897,17.79,97671,31.89,22.16,308.76,17.18,97695.12,306.69,23.926,-90.332,-1004.394,3.389,-0.977,2.878,-19.050,-15.450,-16.800,0,0,0,217,19,7.23,0.14,0.03,0,
159281,17.80,97671,31.83,22.27,308.76,17.17,97695.36,306.67,1.953,-59.082,-1000.488,-0.023,2.160,-3.710,-19.200,-16.350,-17.400,0,0,0,167,20,7.55,0.14,0.03,0,
160662,17.82,97671,31.77,22.25,308.68,17.16,97695.62,306.65,15.137,-31.250,-997.070,8.145,5.473,-2.802,-19.050,-18.000,-17.550,0,0,0,180,20,7.48,0.14,0.03,0,
162057,17.82,97672,31.69,22.30,308.68,17.15,97695.50,306.66,-164.062,38.086,-895.996,29.802,-14.496,8.916,-14.250,-2.100,-20.100,0,0,0,191,20,7.42,0.14,0.03,0,
163442,17.83,97671,31.63,22.37,308.76,17.15,97695.33,306.68,-420.410,-129.395,-854.980,-6.573,3.397,-3.611,-0.150,-7.050,-23.700,0,0,0,188,20,7.35,0.14,0.03,0,
164827,17.84,97671,31.55,22.39,308.76,17.14,97695.44,306.67,-416.016,-100.098,-893.555,-1.153,8.359,1.618,-1.050,-8.400,-25.350,0,0,0,200,20,7.29,0.14,0.03,0,
166212,17.85,97670,31.49,22.44,308.85,17.14,97695.83,306.63,-415.527,-95.215,-895.996,1.573,2.298,1.954,-0.450,-6.300,-24.450,0,0,0,206,20,7.23,0.14,0.03,0,
167596,17.86,97670,31.45,22.51,308.85,17.14,97695.66,306.65,-349.121,-50.293,-952.148,-2.618,-18.542,-2.466,-3.000,-5.100,-24.150,0,0,0,220,20,7.17,0.14,0.03,0,
168979,17.87,97671,31.39,22.54,308.68,17.13,97695.68,306.65,-192.871,-257.324,-997.070,4.992,31.237,-16.252,-6.150,-5.250,-25.050,0,0,0,277,20,7.11,0.13,0.03,0,
170365,17.88,97672,31.32,22.61,308.68,17.13,97696.50,306.58,171.387,2.930,-1031.250,4.924,-3.489,-14.939,-22.950,-6.000,-15.600,0,0,0,214,20,7.05,0.13,0.03,0,
171748,17.88,97671,31.28,22.56,308.76,17.12,97696.82,306.55,143.066,-61.035,-992.187,-5.282,11.496,-3.656,-20.250,-3.300,-16.200,0,0,0,366,20,7.00,0.13,0.03,0,
173131,17.89,97671,31.25,22.56,308.76,17.12,97696.76,306.55,-28.809,47.363,-1022.949,-6.145,11.153,2.015,-21.750,-3.000,-16.950,0,0,0,268,20,6.94,0.13,0.03,0,
174515,17.90,97671,31.23,22.66,308.68,17.12,97696.17,306.60,116.699,-86.914,-997.559,10.374,7.863,1.076,-22.200,-2.550,-16.650,0,0,0,166,20,6.89,0.13,0.03,0,
175902,17.91,97671,31.22,22.54,308.68,17.12,97695.85,306.63,-30.762,-52.246,-1022.949,7.107,5.221,4.099,-23.700,-3.750,-19.950,0,0,0,176,20,6.83,0.13,0.03,0,
177286,17.92,97672,31.22,22.61,308.76,17.13,97695.38,306.67,87.891,-88.867,-1013.672,3.611,-0.794,4.084,-29.850,-3.750,-26.100,0,0,0,249,20,6.78,0.13,0.03,0,
178666,17.93,97672,31.21,22.71,308.76,17.13,97695.20,306.69,15.625,-44.922,-961.426,-5.221,3.191,1.969,-23.100,-3.900,-20.100,0,0,0,185,20,6.73,0.13,0.03,0,
180054,17.94,97672,31.22,22.68,308.68,17.14,97694.85,306.72,45.410,-87.402,-995.117,2.229,2.534,2.275,-20.700,-2.550,-19.950,0,0,0,205,20,6.67,0.13,0.03,0,
181437,17.95,97672,31.23,22.63,308.68,17.14,97694.37,306.76,51.270,-86.426,-975.098,1.160,-0.527,-0.893,-22.650,-3.600,-20.850,0,0,0,198,20,6.62,0.12,0.03,0,
182819,17.96,97672,31.23,22.76,308.68,17.14,97693.97,306.79,72.266,-36.621,-995.117,7.733,3.740,-2.466,-27.150,-3.900,-25.200,0,0,0,198,20,6.57,0.12,0.03,0,
184206,17.97,97673,31.27,22.78,308.68,17.14,97693.74,306.81,-43.945,-75.195,-990.723,-4.458,-0.160,-0.847,-20.700,-2.250,-22.050,0,0,0,215,20,6.52,0.12,0.03,0,
185589,17.99,97672,31.27,22.86,308.68,17.15,97693.07,306.87,34.180,-95.703,-1011.719,6.229,3.908,-3.733,-18.000,-6.000,-18.150,0,0,0,236,20,6.48,0.12,0.03,0,
186972,18.00,97673,31.29,22.73,308.68,17.15,97693.08,306.87,-17.090,-83.984,-986.816,-1.802,1.855,-0.481,-21.600,-5.850,-22.950,0,0,0,217,20,6.43,0.12,0.03,0,
