millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
2618, 0,26.51340,27669,55.12150,9.15100,698.21295,27.38316,27719,55.76403,8.91300,694.47150,-1005.37100, 21.48437, 0.48828, -0.80916, 3.80916, -0.47328, 29.70000, -8.85000, 31.05000, 29.46737, 0,0.00000,0.00000,0.00000,1,0, 
4363, 1,26.35385,27687,54.77775,11.18800,696.96582,27.24077,27722,55.07314,11.39100,694.29443,-527.83203, 189.94139, 89.84374, -6.06870, 2.74046, -11.66412, 30.45000, -10.80000, 31.35000, 29.65906, 0,0.00000,0.00000,0.00000,1,0, 
6106, 0,26.25369,27697,54.62626,13.29400,696.34222,27.13131,27723,54.65390,14.17500,694.38428,-1571.77720, -649.41400, 405.27341, 12.15267, 49.90076, -9.35114, 27.30000, -11.70000, 35.55000, 29.80283, 0,0.00000,0.00000,0.00000,1,0, 
7849, 0,26.20409,27702,54.53427,15.14800,696.07538,27.07109,27722,54.44722,16.96400,694.47150,-1999.99990, -516.11328, -321.77731, 37.96183, 38.37405, -57.45038, 28.05000, -11.40000, 34.80000, 29.80283, 0,0.00000,0.00000,0.00000,1,0, 
9595, 0,26.18482,27705,54.44654,16.98600,695.98553,27.04004,27720,54.35704,19.66000,694.65118,21.48437, 378.90622, 320.80078, 1.77099, 41.32061, -13.01527, 27.90000, -7.35000, 38.25000, 29.80283, 0,0.00000,0.00000,0.00000,1,0, 
11336, 0,26.18260,27704,54.41353,18.36200,695.89832,27.02498,27718,54.26254,22.20200,694.74103,-857.42181, 29.78515, -408.69138, -19.39695, -21.15267, 3.62595, 31.95000, -17.25000, 15.00000, 29.89867, 0,0.00000,0.00000,0.00000,1,0, 
13082, 0,26.19082,27704,54.36234,19.79000,695.98553,27.01934,27718,54.14960,24.41500,694.74103,-1811.03500, 172.85155, -491.69919, -24.13741, -108.38168, 91.12977, 31.65000, -15.75000, 19.05000, 30.18621, 0,0.00000,0.00000,0.00000,1,0, 
14824, 0,26.20693,27705,54.32534,20.85900,695.89832,27.01369,27718,54.16201,26.41500,694.74103,-789.06244, 208.00780, -63.96484, 15.87023, 39.07634, -14.16031, 30.60000, -18.30000, 16.65000, 29.80283, 0,0.00000,0.00000,0.00000,1,0, 
16568, 0,26.22462,27705,54.28202,21.88800,695.89832,27.01024,27718,54.31990,28.55400,694.65118,-1013.67180, 111.81640, 48.33984, -1.44275, -18.11450, 8.35114, 29.25000, -18.60000, 17.40000, 30.28205, 0,0.00000,0.00000,0.00000,1,0, 
18311, 0,26.24169,27707,54.25168,22.69700,695.71863,27.01495,27719,54.33374,30.54600,694.38428,-986.32806, 59.08203, 4.88281, 0.87786, 1.05344, -4.84733, 29.70000, -16.50000, 20.10000, 30.09036, 0,0.00000,0.00000,0.00000,1,0, 
