millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
561130,27.89031,27615,27.45999,90.07400,703.82776,26.90549,27617,29.94366,112.48300,703.64813,25.87890, 14.64844, 1017.57810, -1.74809, 3.58779, 0.43511, 27.45000, -8.55000, 67.65000, 32.58235, 3,5.17227,0.09753,0.05631,0,55, 
578520,27.90106,27615,27.46085,91.05700,703.91498,26.91709,27618,29.94466,114.81300,703.64813,16.11328, 9.27734, 1040.03910, 0.82443, -0.14504, 0.98473, 27.75000, -9.45000, 63.45000, 32.43858, 3,4.92597,0.09289,0.05363,0,49, 
595920,27.91180,27616,27.41168,92.57200,703.82776,26.92713,27617,29.89994,115.21100,703.64813,14.16016, 21.48437, 1027.83200, 1.61069, 0.97710, 0.56489, 27.90000, -13.50000, 61.50000, 32.29482, 3,4.70170,0.08866,0.05119,0,41, 
613350,27.92254,27616,27.37920,93.61100,703.73798,26.93968,27618,29.86684,116.74800,703.64813,19.53125, 5.37109, 1040.52730, -1.75573, 2.93130, 0.17557, 28.05000, -12.60000, 62.40000, 32.29482, 3,4.49730,0.08480,0.04896,0,35, 
630750,27.93265,27616,27.33000,94.45800,703.73798,26.95003,27617,29.81079,117.74000,703.55829,17.08984, 13.18359, 1020.50780, 2.31298, -0.64122, -2.37405, 27.90000, -13.50000, 61.80000, 32.63028, 3,4.30973,0.08127,0.04692,0,28, 
648180,27.94213,27616,27.28633,95.10400,703.82776,26.96069,27619,29.77186,119.09000,703.55829,12.20703, 9.76563, 1029.78520, 0.41985, -2.43511, -2.14504, 28.65000, -12.00000, 61.20000, 32.24689, 3,4.13746,0.07802,0.04504,0,24, 
665570,27.95382,27616,27.22619,94.54600,703.82776,26.97041,27618,29.72147,119.60400,703.55829,10.25391, 11.23047, 1029.29690, -0.85496, 2.00763, 0.58779, 27.45000, -13.05000, 63.30000, 32.58235, 3,3.97808,0.07501,0.04331,0,21, 
682990,27.96299,27615,27.17141,95.96000,703.82776,26.97982,27618,29.65401,121.61600,703.64813,15.62500, -8.78906, 1033.20310, 1.88550, 1.96947, -0.55725, 28.65000, -13.05000, 61.50000, 32.29482, 3,3.83077,0.07223,0.04170,0,20, 
700390,27.96488,27616,27.06616,97.87300,703.82776,26.98546,27619,29.53511,124.34500,703.47107,14.64844, 18.06641, 1036.62110, -3.23664, 2.29008, -0.87023, 28.95000, -12.75000, 62.55000, 32.10312, 3,3.69397,0.06966,0.04022,0,20, 
717820,27.96488,27615,26.93315,98.56700,703.82776,26.99111,27619,29.35954,124.62500,703.47107,21.97265, 2.92969, 1035.64450, -0.96183, 0.03817, -0.23664, 28.50000, -11.70000, 61.35000, 32.19897, 3,3.56648,0.06725,0.03883,0,20, 
735220,27.96740,27615,26.80599,99.03500,703.82776,26.99707,27619,29.21256,124.90600,703.55829,20.99609, 2.44141, 1016.60150, -1.83206, 2.99237, 0.76336, 27.15000, -12.75000, 62.55000, 32.43858, 4,4.59691,0.08668,0.04334,0,20, 
752610,27.97436,27615,26.74567,97.98800,703.73798,27.00648,27619,29.13400,124.81200,703.38123,11.23047, 10.74219, 1031.73830, -2.27481, 4.57252, -0.56489, 27.90000, -10.80000, 61.50000, 32.39066, 4,4.44840,0.08388,0.04194,0,20, 
