millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
2352, 0,26.78480,27687,49.91672,20.05700,696.43207,26.78098,27749,52.69801,26.38100,691.97986,-998.04681, 55.17578, 0.00000, 0.92366, -0.50382, -3.41985, 32.10000, -13.35000, 6.45000, 28.89229, 0,0.00000,0.00000,0.00000,0,0, 
4093, 0,26.62304,27708,49.60211,21.35000,695.09509,26.63607,27749,52.07758,29.29800,691.89264,-985.83978, 54.68750, -4.39453, -2.41985, 3.41985, -4.21374, 34.05000, -12.60000, 4.35000, 29.08398, 0,0.00000,0.00000,0.00000,0,0, 
5834, 0,26.51530,27720,49.47984,22.97200,694.29443,26.52693,27750,51.71126,32.70700,691.89264,-990.72260, 56.64062, 6.83594, 0.36641, 0.49618, 2.61832, 34.35000, -12.90000, 4.95000, 29.41945, 0,0.00000,0.00000,0.00000,0,0, 
7574, 0,26.45906,27727,49.40889,24.12500,693.85059,26.46765,27751,51.45633,35.46800,691.80280,-1001.46480, 47.85156, 10.74219, 2.06870, 0.91603, 1.45802, 31.80000, -13.65000, 4.95000, 29.41945, 0,0.00000,0.00000,0.00000,0,0, 
9320, 0,26.43188,27730,49.34809,25.00600,693.58368,26.43503,27751,51.23124,37.48100,691.80280,-1024.90230, 50.78125, 20.50781, -2.89313, 1.89313, 0.07634, 33.30000, -14.10000, 6.15000, 29.13191, 0,0.00000,0.00000,0.00000,0,0, 
11062, 0,26.42336,27733,49.29607,25.80900,693.49384,26.41339,27751,51.05976,39.36000,691.80280,-1000.48820, 56.15234, 8.30078, 0.30534, 1.20611, 2.12977, 34.50000, -13.05000, 5.55000, 29.41945, 0,0.00000,0.00000,0.00000,0,0, 
12808, 0,26.42209,27733,49.25135,26.31400,693.40399,26.40398,27751,50.92242,40.90800,691.80280,-997.07025, 57.61718, -6.34766, 0.73282, -0.10687, 2.12977, 34.05000, -13.35000, 6.90000, 29.37152, 0,0.00000,0.00000,0.00000,0,0, 
14551, 0,26.42525,27734,49.21358,26.80300,693.31683,26.40367,27751,50.81878,41.56200,691.80280,-1000.97650, 52.73437, 2.92969, -1.55725, 2.49618, -0.90076, 33.75000, -13.50000, 6.30000, 29.46737, 0,0.00000,0.00000,0.00000,0,0, 
16295, 0,26.42999,27735,49.20147,27.17000,693.31683,26.40461,27751,51.14289,42.28000,691.71295,-993.16400, 54.68750, 2.92969, 0.92366, 3.48855, 2.07634, 33.30000, -14.40000, 6.15000, 29.61114, 0,0.00000,0.00000,0.00000,0,0, 
18038, 0,26.43505,27734,49.17031,27.56400,693.40399,26.40900,27751,51.35762,43.38200,691.80280,-1010.25380, 58.10546, 4.88281, 0.02290, 4.16794, -2.22137, 33.75000, -13.80000, 7.80000, 29.61114, 0,0.00000,0.00000,0.00000,0,0, 
