millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
2254, 0,26.66474,27500,37.35185,12.88400,713.18933,27.19435,27556,42.03696,18.70400,709.08594,-999.02338, 48.33984, 19.04297, 1.48092, 0.68702, 3.09924, 36.00000, -6.30000, 56.40000, 29.03606, 0,0.00000,0.00000,0.00000,0,0, 
3996, 0,26.50456,27520,37.13977,13.75900,711.76251,27.05259,27557,41.33817,20.31400,708.99872,-999.99994, 22.46094, 34.17969, 2.38168, 0.31298, -0.81679, 36.15000, -6.00000, 55.80000, 29.22775, 1,17.32602,0.32671,0.32671,0,0, 
5739, 0,26.40061,27533,37.06400,14.82500,710.95929,26.94720,27557,40.62830,21.66900,708.90887,-992.18744, 45.41015, 38.08594, 1.63359, 0.12214, -0.05344, 34.80000, -7.20000, 56.55000, 28.84437, 1,11.52516,0.21732,0.21732,0,0, 
7481, 0,26.34690,27539,37.02300,15.68300,710.51276,26.89231,27558,40.32924,23.06400,708.90887,-977.53900, 74.70703, 51.75781, -1.93893, 4.28244, -5.35878, 36.75000, -6.30000, 57.15000, 29.13191, 1,8.63309,0.16279,0.16279,0,0, 
9225, 0,26.32162,27543,36.98493,16.47600,710.33569,26.87130,27559,40.19892,24.30100,708.81903,-998.04681, 34.17969, 50.29296, 0.22901, 1.03053, 2.58015, 34.80000, -6.00000, 56.55000, 29.37152, 1,6.90290,0.13016,0.13016,0,0, 
10968, 0,26.31435,27545,36.96644,17.15400,710.15601,26.86848,27560,40.08287,25.24500,708.72919,-955.56635, 71.77734, 36.13281, 0.06107, 1.13740, 1.03817, 36.15000, -6.00000, 57.00000, 29.37152, 1,5.74878,0.10840,0.10840,0,0, 
12712, 0,26.31783,27547,36.94315,17.88900,709.97900,26.87506,27560,40.05924,25.95300,708.81903,-975.58588, -37.10938, -75.68359, -11.56489, 3.32061, 0.51145, 37.35000, -7.95000, 57.75000, 29.56321, 1,4.92611,0.09289,0.09289,0,0, 
14455, 0,26.32320,27547,36.94960,18.44300,709.97900,26.88698,27560,40.17626,26.98000,708.72919,-994.62885, 25.87890, 8.78906, 0.64885, -0.85496, 0.12214, 36.75000, -10.05000, 54.30000, 29.41945, 1,4.30880,0.08125,0.08125,0,0, 
16201, 0,26.33236,27547,36.93280,19.04900,709.97900,26.90047,27561,40.31794,27.77300,708.81903,-979.98041, 41.99218, 1.95312, 1.77863, -1.94656, 0.93130, 44.40000, -13.35000, 54.00000, 29.75491, 2,7.65892,0.14442,0.10212,0,0, 
17943, 0,26.34437,27547,36.91627,19.53100,709.88916,26.91459,27561,40.44761,28.71200,708.72919,-976.56244, 261.71875, -21.48437, 17.20611, 4.69466, -21.06107, 41.40000, -14.85000, 54.75000, 29.65906, 2,6.89219,0.12996,0.09190,0,0, 
