millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
2190, 0,28.98700,27622,31.16839,6.56500,702.31110,29.18911,27678,30.42889,8.84500,698.21295,-992.18744, 54.68750, 6.83594, -2.31298, 2.97710, -3.79389, 39.15000, 22.50000, 37.35000, 31.14467, 0,0.00000,0.00000,0.00000,0,0, 
3932, 0,28.82523,27642,30.95958,8.23200,700.97412,29.04609,27679,30.07803,11.44100,698.21295,-1016.60150, 64.94141, 20.01953, -3.12214, 4.60305, -0.95420, 40.05000, 23.10000, 36.00000, 31.04882, 0,0.00000,0.00000,0.00000,0,0, 
5671, 0,28.71875,27654,30.86446,10.15100,700.17352,28.93789,27679,29.86835,14.38100,698.21295,-999.51166, 35.64453, 8.78906, 3.36641, 1.44275, -0.91603, 40.65000, 22.80000, 37.05000, 31.24051, 0,0.00000,0.00000,0.00000,0,0, 
7411, 0,28.66377,27661,30.79683,11.94000,699.72699,28.87516,27679,29.70865,17.49200,698.12311,-994.62885, 61.03515, 19.04297, -1.94656, 4.22901, -3.13740, 39.60000, 21.75000, 37.65000, 31.24051, 0,0.00000,0.00000,0.00000,0,0, 
9154, 0,28.63818,27664,30.75465,13.69600,699.54993,28.84661,27680,29.56354,20.51400,698.12311,-1010.74210, 65.42969, 19.53125, -0.96947, 4.33588, -0.81679, 38.40000, 24.75000, 37.35000, 31.48013, 0,0.00000,0.00000,0.00000,0,0, 
10894, 2,28.62996,27666,30.69694,15.42800,699.37024,28.83250,27678,29.47110,23.58800,698.21295,-992.18744, 57.12890, 21.48437, 2.26718, 1.35115, -0.06107, 39.60000, 22.50000, 36.60000, 31.52805, 0,0.00000,0.00000,0.00000,0,0, 
12635, 0,28.63060,27667,30.65713,17.02800,699.37024,28.83062,27678,29.37978,26.55000,698.21295,-996.09369, 52.73437, 14.16016, 1.74809, 0.19084, 0.62595, 38.55000, 23.10000, 37.50000, 31.48013, 0,0.00000,0.00000,0.00000,0,0, 
14374, 0,28.63565,27666,30.64050,18.60700,699.37024,28.83532,27679,29.32893,29.50600,698.12311,-1002.44130, 58.59375, 13.18359, 0.63359, 2.73282, -2.53435, 40.50000, 23.10000, 37.20000, 32.00728, 0,0.00000,0.00000,0.00000,0,0, 
16117, 0,28.64228,27667,30.60123,20.13400,699.37024,28.84003,27678,29.34642,32.22600,698.21295,-1000.97650, 52.73437, 14.64844, 0.67939, 0.15267, -0.16794, 39.30000, 22.65000, 34.95000, 31.71974, 1,3.83411,0.07230,0.07230,0,0, 
17857, 0,28.65050,27667,30.59058,21.46000,699.37024,28.84473,27678,29.29558,35.16800,698.12311,-998.04681, 52.24609, 10.25391, 0.40458, -1.37405, 1.25954, 39.30000, 22.65000, 34.95000, 31.48013, 1,3.45026,0.06506,0.06506,0,0, 
19600, 0,28.65966,27667,30.55723,22.94700,699.37024,28.84850,27679,29.23899,37.95900,698.12311,-1001.95310, 56.15234, 12.20703, -1.28244, 2.65649, 0.10687, 39.75000, 24.15000, 34.65000, 32.00728, 1,3.13594,0.05913,0.05913,0,0, 
21341, 0,28.66978,27668,30.52399,24.16600,699.28308,28.85226,27680,29.18242,40.11900,698.03595,-1008.30070, 93.74999, 34.17969, -1.33588, 2.22901, -1.41985, 40.80000, 25.35000, 34.20000, 31.71974, 1,2.87453,0.05420,0.05420,0,0, 
23080, 0,28.67831,27668,30.51336,25.40100,699.37024,28.85696,27680,29.14869,42.32300,698.12311,-989.74603, 58.59375, 18.55469, 1.77863, -1.10687, -0.17557, 39.90000, 23.25000, 35.10000, 31.86351, 1,2.65299,0.05003,0.05003,0,1, 
