millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
49131, 0,28.29442,27603,25.62410,111.02700,704.89526,27.46251,27608,27.71637,141.48900,704.54120,-11.71875, 6.34766, 1031.25000, -0.03817, 0.68702, -1.47328, 23.70000, -20.10000, 60.60000, 33.30119, 4,4.92520,0.09287,0.04644,0,20, 
50874, 2,28.29473,27603,25.59119,110.95400,704.98511,27.46063,27609,27.68816,139.82300,704.45135,-12.69531, 9.76563, 1038.08590, 0.18321, 0.12214, 1.23664, 26.10000, -18.90000, 61.20000, 33.34912, 4,4.75539,0.08967,0.04484,0,20, 
52614, 0,28.29094,27603,25.57992,111.32400,704.98511,27.45247,27608,27.66505,140.53200,704.54120,-12.69531, -1.46484, 1044.43360, -1.31298, 2.15267, -1.57252, 24.15000, -21.90000, 59.70000, 33.10950, 4,4.59673,0.08668,0.04334,0,20, 
54356, 0,28.28557,27602,25.57403,111.92100,704.98511,27.44808,27608,27.62542,140.88901,704.45135,-12.69531, 0.48828, 1041.01560, 2.12214, -0.79389, -0.02290, 24.75000, -21.30000, 59.85000, 33.30119, 4,4.44848,0.08388,0.04194,0,20, 
56096, 0,28.28715,27602,25.53574,112.07100,705.07495,27.44620,27608,27.60282,141.12900,704.45135,-22.46094, -13.18359, 1029.29690, -1.46565, 2.32824, -4.40458, 24.15000, -19.65000, 60.75000, 33.34912, 4,4.30942,0.08126,0.04063,0,20, 
57839, 0,28.28968,27601,25.50850,111.54700,705.07495,27.43962,27608,27.58547,140.77000,704.54120,-10.25391, 4.88281, 1028.80860, -2.80153, 3.10687, -0.12214, 25.35000, -20.70000, 60.45000, 33.10950, 4,4.17864,0.07879,0.03940,0,20, 
59579, 0,28.28779,27601,25.46996,112.75300,705.16479,27.43021,27608,27.55106,142.21500,704.54120,-4.39453, 8.30078, 1029.29690, -2.48092, 4.13740, -1.65649, 27.15000, -21.90000, 58.65000, 33.10950, 4,4.05577,0.07648,0.03824,0,20, 
61320, 1,28.28747,27602,25.42059,112.75300,705.07495,27.42425,27608,27.52255,141.36900,704.45135,-17.57813, -0.97656, 1023.43740, 1.12977, 1.83206, 0.37405, 25.65000, -20.70000, 59.70000, 33.25327, 4,3.93992,0.07429,0.03715,0,20, 
63060, 0,28.28557,27602,25.39304,112.98200,704.98511,27.42080,27608,27.50545,140.65100,704.45135,-8.30078, -1.46484, 1033.69140, -2.07634, 1.35878, -1.28244, 24.90000, -19.20000, 59.70000, 33.44496, 4,3.83050,0.07223,0.03611,0,20, 
64800, 0,28.28494,27602,25.37655,111.99600,704.98511,27.41766,27609,27.53323,141.60899,704.45135,-19.53125, 0.00000, 1021.48430, -0.67176, 4.10687, -2.41985, 25.50000, -19.80000, 59.85000, 33.34912, 4,3.72682,0.07028,0.03514,0,20, 
