millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
2512, 0,32.95108,32245,35.12018,7.25100,298.64566,30.31104,32286,40.58803,8.74100,295.73386,67.87109, 604.98047, -791.50385, -2.62595, 4.51908, -0.61832, -6.15000, 48.45000, -2.85000, 34.11588, 0,0.00000,0.00000,0.00000,1,0, 
4257, 0,32.78646,32260,34.92028,8.92400,297.70499,30.18589,32288,40.12023,11.21800,295.64932,62.50000, 612.30469, -785.64447, -1.61832, 3.32824, -3.41985, -7.20000, 47.55000, -1.95000, 34.16381, 0,0.00000,0.00000,0.00000,1,0, 
6001, 0,32.66923,32268,34.85527,10.62800,297.18976,30.09775,32289,39.86572,13.69800,295.56210,63.47656, 605.95703, -773.92572, -2.23664, 2.67176, -1.46565, -6.75000, 47.10000, -2.25000, 34.54719, 0,0.00000,0.00000,0.00000,1,0, 
7745, 1,32.59593,32273,34.82424,12.28400,296.76172,30.05823,32289,39.72693,16.33700,295.47757,63.96484, 599.60938, -795.41010, 0.60305, 0.32824, -2.66412, -7.50000, 47.10000, -3.00000, 34.73888, 0,0.00000,0.00000,0.00000,1,0, 
9491, 0,32.55864,32276,34.80278,13.92400,296.67450,30.04663,32289,39.62797,18.67100,295.47757,59.57031, 603.02734, -793.45697, 0.55725, 1.62595, 1.71756, -6.90000, 49.20000, -1.80000, 34.73888, 0,0.00000,0.00000,0.00000,1,0, 
11234, 0,32.54379,32277,34.78948,15.49700,296.58997,30.05165,32289,39.52482,21.01200,295.47757,62.98828, 601.07422, -778.80853, 0.65649, 2.38931, 1.22137, -6.45000, 47.55000, -2.25000, 34.40342, 0,0.00000,0.00000,0.00000,1,0, 
12980, 0,32.54000,32278,34.77142,16.87600,296.50540,30.06356,32289,39.43468,23.40200,295.56210,-95.21484, 885.74213, -534.17969, -5.46565, 12.38931, -2.65649, -2.85000, 50.40000, 13.80000, 34.64304, 0,0.00000,0.00000,0.00000,1,0, 
14724, 1,32.54443,32279,34.75418,18.36200,296.50540,30.06137,32288,39.37350,25.43000,295.56210,113.76952, 776.36713, -507.32419, 6.16794, -2.67939, 1.14504, -9.75000, 51.00000, 13.95000, 34.73888, 0,0.00000,0.00000,0.00000,1,0, 
16467, 1,32.55137,32279,34.74900,19.60400,296.41821,30.03377,32290,39.37654,27.47900,295.47757,62.98828, 819.82416, -559.57031, -1.42748, 3.50382, -0.38931, -10.80000, 49.05000, 10.65000, 34.83472, 0,0.00000,0.00000,0.00000,1,0, 
18211, 1,32.56054,32280,34.74403,20.88000,296.41821,30.01024,32291,39.39223,29.40200,295.39038,82.03124, 795.89838, -606.44531, 0.45802, 5.19084, -1.16031, -8.10000, 48.90000, 8.25000, 34.88265, 0,0.00000,0.00000,0.00000,1,0, 
