millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
2481, 12,29.55256,32251,54.96579,5.78200,298.04587,31.72090,32295,47.96956,6.35200,294.79056,-278.32031, -992.18744, -269.53125, 12.60305, -58.61069, 25.29008, 18.60000, -27.30000, -8.10000, 31.24051, 0,0.00000,0.00000,0.00000,1,0, 
4226, 13,29.38890,32266,54.62005,6.98800,297.27695,31.57599,32296,46.92667,8.11100,295.04688,-428.22263, -909.66791, 49.31640, 8.96183, -19.57252, 2.89313, 30.60000, -24.75000, 13.05000, 31.38428, 0,0.00000,0.00000,0.00000,1,0, 
5969, 18,29.27388,32272,54.49203,8.32400,296.84625,31.44677,32294,46.06994,9.96700,295.21863,-353.51559, -894.04291, 318.84766, -17.96183, 26.41985, 6.53435, 28.80000, -24.00000, 28.20000, 31.14467, 0,0.00000,0.00000,0.00000,1,0, 
7712, 17,29.21006,32275,54.40420,9.56400,296.67450,31.34797,32292,45.26564,11.74700,295.30582,-330.56638, -853.02728, 311.52344, -5.91603, 13.82443, -31.00000, 27.15000, -22.20000, 32.85000, 31.38428, 0,0.00000,0.00000,0.00000,1,0, 
9458, 19,29.18099,32276,54.34103,10.82700,296.67450,31.27928,32290,44.50669,13.70700,295.39038,-151.36719, -873.04681, 530.76172, -2.12977, -0.77099, -3.55725, 19.80000, -23.10000, 42.60000, 31.71974, 0,0.00000,0.00000,0.00000,1,0, 
11202, 20,29.17025,32277,54.24767,11.93300,296.58997,31.25261,32290,43.94431,15.38200,295.39038,-690.42963, -824.21869, 43.45703, -6.29771, -8.34351, 18.29008, 36.00000, -11.55000, 21.90000, 31.76766, 0,0.00000,0.00000,0.00000,1,0, 
12946, 17,29.16899,32277,54.18189,13.06100,296.58997,31.25136,32290,43.96298,17.01900,295.47757,-487.79294, -747.55853, 334.96091, -45.64885, 40.94656, 80.59542, 27.30000, -19.35000, 36.30000, 31.91143, 0,0.00000,0.00000,0.00000,1,0, 
14690, 18,29.17530,32278,54.11723,14.13200,296.41821,31.25011,32290,44.21391,18.75500,295.39038,-739.25775, -708.98431, -165.03905, -23.19084, -0.81679, 2.23664, 40.50000, -3.60000, 14.70000, 31.86351, 0,0.00000,0.00000,0.00000,1,0, 
16436, 7,29.18763,32279,54.04687,15.19200,296.41821,31.25293,32292,44.29594,20.39300,295.30582,-702.63666, -767.08978, -23.43750, -0.51145, 3.77863, -0.47328, 38.85000, -8.70000, 17.70000, 32.10312, 0,0.00000,0.00000,0.00000,1,0, 
18179, 8,29.20216,32280,53.98340,16.18200,296.33365,31.25481,32291,44.30874,21.96700,295.30582,-736.32806, -738.76947, -34.17969, -0.55725, 9.39695, 0.94656, 38.55000, -11.55000, 12.75000, 32.19897, 0,0.00000,0.00000,0.00000,1,0, 
