millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
2320, 0,26.83820,27692,49.71926,18.39400,696.07538,26.80638,27753,52.48565,22.91200,691.62311,-998.53510, 65.91797, 10.74219, 0.74809, 0.01527, 3.46565, 33.45000, -0.15000, -3.75000, 28.89229, 0,0.00000,0.00000,0.00000,0,0, 
4063, 0,26.66537,27713,49.48643,18.89400,694.65118,26.66430,27758,52.18573,23.32300,691.26904,-1005.85930, 60.05859, 2.44141, -2.16031, 4.88550, -1.45802, 34.80000, 0.30000, -3.60000, 29.22775, 0,0.00000,0.00000,0.00000,0,0, 
5806, 0,26.54626,27725,49.44560,19.80900,693.93774,26.56049,27756,53.23804,24.28700,691.35626,-991.69916, 61.03515, 8.78906, -0.47328, 1.96947, 0.70229, 35.10000, 0.30000, -2.85000, 29.08398, 0,0.00000,0.00000,0.00000,0,0, 
7547, 0,26.48054,27731,49.41166,20.73400,693.49384,26.49337,27755,54.12963,26.14900,691.26904,-1004.88280, 63.96484, 12.69531, -0.02290, -0.74809, -0.78626, 34.20000, -0.15000, -3.00000, 29.13191, 0,0.00000,0.00000,0.00000,0,0, 
9293, 0,26.44674,27734,49.38821,21.46000,693.31683,26.45856,27756,54.19733,28.03500,691.35626,-990.72260, 71.77734, 5.85937, 0.17557, 0.96183, -2.23664, 34.05000, -0.30000, -3.15000, 29.13191, 0,0.00000,0.00000,0.00000,0,0, 
11033, 1,26.43252,27735,49.36090,22.23800,693.22699,26.44350,27755,53.88566,29.78100,691.44611,-988.28119, 69.82422, 26.85547, -2.26718, 4.18321, 0.19084, 34.50000, 2.10000, -4.05000, 29.27568, 0,0.00000,0.00000,0.00000,0,0, 
12779, 0,26.42778,27736,49.34756,22.74700,693.13715,26.43911,27754,53.38553,31.44600,691.53595,-997.07025, 62.01171, 13.18359, -1.83206, 3.38931, -5.35115, 35.55000, -0.75000, -2.85000, 29.41945, 0,0.00000,0.00000,0.00000,0,0, 
14519, 0,26.42873,27737,49.34131,23.49000,693.13715,26.44821,27754,52.94093,32.81000,691.53595,-989.25775, 84.96093, 3.41797, -1.54198, 4.03053, -1.40458, 35.70000, -0.45000, -4.50000, 29.27568, 0,0.00000,0.00000,0.00000,0,0, 
16265, 0,26.43283,27737,49.31638,24.02700,693.13715,26.45950,27754,52.49113,34.04500,691.53595,-997.55853, 58.10546, 2.92969, -2.99237, 4.19847, -1.58015, 35.10000, 0.75000, -3.15000, 29.41945, 0,0.00000,0.00000,0.00000,0,0, 
18007, 0,26.43789,27737,49.30430,24.52100,693.04730,26.47329,27754,52.10141,35.16800,691.53595,-1000.48820, 63.47656, 10.74219, 1.93130, -1.15267, -0.19084, 33.30000, 1.05000, -3.90000, 29.56321, 0,0.00000,0.00000,0.00000,0,0, 
