millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
2223, 0,26.49665,27501,36.85491,4.34000,713.00970,26.96602,27555,37.57960,5.50800,709.17572,-989.74603, 45.89843, 29.78515, 0.00763, 1.72519, 2.45802, 36.15000, -5.25000, 55.80000, 28.22137, 0,0.00000,0.00000,0.00000,0,0, 
3963, 1,26.33647,27522,36.63189,5.26600,711.67267,26.82990,27557,37.30795,6.72300,708.90887,-994.62885, 30.76172, 31.25000, -1.32061, 1.50382, -4.00000, 35.70000, -6.30000, 56.10000, 28.36514, 0,0.00000,0.00000,0.00000,0,0, 
5699, 0,26.23537,27534,36.50959,6.23100,710.86945,26.73863,27559,38.22262,8.02400,708.81903,-1003.90620, 43.94531, 22.46094, 2.38931, 2.25954, 2.08397, 35.55000, -5.25000, 55.50000, 28.89229, 0,0.00000,0.00000,0.00000,0,0, 
7440, 0,26.18608,27539,36.44567,7.19600,710.51276,26.69284,27560,40.00284,9.44900,708.81903,-995.60541, 53.22265, 17.57813, 1.35115, 1.50382, 0.37405, 35.25000, -7.35000, 56.85000, 28.60476, 0,0.00000,0.00000,0.00000,0,0, 
9183, 0,26.16775,27543,36.39669,8.17400,710.24585,26.67779,27560,41.97216,10.79800,708.81903,-1003.41790, 39.06250, 35.15625, -4.67176, 3.80153, -2.90840, 34.50000, -5.85000, 57.15000, 28.74853, 0,0.00000,0.00000,0.00000,0,0, 
10923, 0,26.16554,27545,36.39058,9.10300,710.06622,26.67716,27560,43.58699,12.28200,708.81903,-1007.32420, 47.85156, 29.78515, -2.52672, 2.79389, -1.12977, 36.45000, -6.60000, 56.40000, 29.03606, 0,0.00000,0.00000,0.00000,0,0, 
12665, 0,26.17407,27546,36.39732,10.04300,710.06622,26.68625,27560,44.53569,13.72600,708.81903,-1001.95310, 51.26953, 29.78515, 2.23664, 1.26718, -1.34351, 34.20000, -7.05000, 56.40000, 29.13191, 0,0.00000,0.00000,0.00000,0,0, 
14405, 0,26.18797,27547,36.41640,10.85000,709.97900,26.69912,27560,45.01929,15.10200,708.81903,-1005.37100, 39.06250, 33.69141, -3.39695, 2.50382, 0.93893, 34.50000, -5.85000, 57.45000, 29.22775, 1,4.31406,0.08135,0.08135,0,0, 
16148, 0,26.20504,27548,36.45937,11.69900,709.88916,26.71668,27560,45.02766,16.54500,708.81903,-997.07025, 65.91797, 37.59766, -3.07634, 2.58779, -2.16031, 34.95000, -6.60000, 57.45000, 28.94022, 1,3.83411,0.07230,0.07230,0,0, 
