millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,ozone concentration,
9509900,14.12,915,6.73,29.83,26226.67,998.047,20.996,34.668,-35.366,2.511,-2.489,-48.750,25.950,4.350,50,814,40.71,0.77,0.03,0,20,
9511484,14.13,916,6.74,29.79,26230.43,987.793,28.320,29.785,-7.954,2.443,-2.794,-48.000,28.200,15.150,6,815,40.91,0.77,0.03,0,20,
9513068,14.14,915,6.73,29.90,26230.43,999.512,41.504,25.879,8.962,5.405,0.237,-48.750,29.700,14.400,4,817,40.96,0.77,0.03,0,20,
9514656,14.15,913,6.76,29.67,26237.97,991.211,18.066,31.738,0.328,0.504,1.405,-49.050,26.550,8.400,79,819,41.00,0.77,0.03,0,20,
9516240,14.16,912,6.74,29.79,26241.74,997.070,22.461,29.297,-20.756,1.511,-4.221,-49.350,27.600,16.500,71,817,41.05,0.77,0.03,0,20,
9517825,14.18,910,6.75,29.75,26245.51,1000.000,28.320,24.414,16.885,0.580,1.267,-49.350,27.600,17.850,2,818,41.05,0.77,0.03,0,20,
9519409,14.19,911,6.75,29.79,26245.51,996.582,19.043,33.691,26.084,2.145,-2.962,-48.450,24.450,1.350,54,818,40.99,0.77,0.03,1,20,
9520996,14.20,911,6.76,29.69,26245.51,995.605,28.809,18.555,13.443,3.389,-1.901,-48.450,15.150,-7.500,0,819,40.99,0.77,0.03,0,20,
9522580,14.21,910,6.74,29.75,26249.29,996.582,34.180,25.879,11.756,3.015,-0.992,-49.950,9.450,-7.500,0,817,41.04,0.77,0.03,0,20,
9524164,14.22,910,6.75,29.54,26249.29,1005.859,38.086,45.898,18.863,3.756,-0.366,-51.000,0.000,-6.450,0,817,40.99,0.77,0.03,0,20,
9525748,14.23,909,6.80,29.60,26253.08,997.070,30.762,26.855,20.275,0.191,1.031,-51.150,-10.500,1.200,0,820,41.08,0.77,0.03,0,20,
9527345,14.25,908,6.76,29.64,26253.08,1008.301,31.738,37.598,31.771,4.962,-1.313,-49.200,-17.850,14.850,0,821,41.08,0.77,0.03,0,20,
9528930,14.26,908,6.75,29.52,26256.86,997.559,35.156,41.016,42.031,1.321,1.092,-48.600,-7.800,38.250,0,816,40.98,0.77,0.03,0,20,
