millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,ozone concentration,
1533,27.73,96365,16.18,16.46,421.22,176.758,573.242,874.512,7.840,-2.168,-4.130,-4.350,12.150,60.300,0,0,0.00,0.00,0.00,0,0,
3109,27.66,96368,15.72,16.64,421.13,176.270,633.301,771.484,1.008,3.168,1.275,-2.700,15.450,58.200,0,0,0.00,0.00,0.00,0,0,
4689,27.51,96369,15.41,17.27,421.04,140.625,622.559,820.312,-1.649,6.931,-3.489,-2.400,15.000,58.200,0,0,0.00,0.00,0.00,0,0,
6266,27.46,96369,15.20,18.13,421.04,183.594,620.605,852.051,-0.053,-2.237,-4.336,-2.850,15.150,58.800,0,0,0.00,0.00,0.00,0,0,
7842,27.45,96370,15.04,19.35,420.96,209.961,527.832,837.402,16.695,-4.977,-3.176,-2.100,14.850,59.850,0,0,0.00,0.00,0.00,0,0,
9419,27.47,96369,14.97,20.45,421.04,168.457,593.750,832.519,-4.466,5.511,4.153,-1.950,14.700,57.450,0,0,0.00,0.00,0.00,0,0,
11000,27.49,96367,15.04,21.39,421.04,173.828,607.422,853.027,-5.031,5.069,-0.069,-1.800,14.400,58.350,0,0,0.00,0.00,0.00,0,0,
12577,27.51,96369,15.09,22.04,421.04,161.621,591.309,831.055,2.321,1.863,-1.260,-1.650,14.250,59.250,0,0,0.00,0.00,0.00,0,0,
14153,27.53,96369,15.01,22.71,421.04,198.242,604.004,819.824,0.328,-0.130,-2.901,-1.800,11.400,57.300,0,0,0.00,0.00,0.00,0,0,
15728,27.55,96369,14.87,23.47,420.96,208.008,504.883,939.941,-11.282,-2.931,1.450,-1.650,7.800,60.750,0,0,0.00,0.00,0.00,0,0,
17308,27.57,96369,14.69,24.38,421.04,262.695,663.574,799.316,1.252,5.137,-0.489,-7.650,15.150,59.550,0,0,0.00,0.00,0.00,0,0,
18885,27.58,96368,14.83,25.13,421.04,233.398,708.496,777.832,-2.038,4.092,2.305,-8.400,16.800,57.750,0,0,0.00,0.00,0.00,0,0,
20461,27.59,96369,15.00,25.92,421.04,290.039,686.035,743.652,-1.420,9.107,-11.153,-7.350,18.300,57.300,0,0,0.00,0.00,0.00,0,0,
22038,27.62,96368,15.43,26.60,421.13,221.680,671.875,762.207,2.221,6.740,3.489,-5.250,16.950,56.850,0,0,0.00,0.00,0.00,0,0,
23618,27.66,96368,16.33,27.11,421.13,230.469,654.785,801.269,-14.916,-20.664,0.901,-7.350,14.400,58.050,0,0,0.00,0.00,0.00,0,1,
25194,27.69,96369,17.25,27.38,421.13,291.016,524.414,786.133,-1.672,1.183,8.305,-8.400,10.200,59.850,0,0,0.00,0.00,0.00,0,2,
26771,27.70,96367,18.01,28.73,421.13,247.559,729.980,630.371,-0.962,4.130,1.740,-7.650,21.300,55.800,0,0,0.00,0.00,0.00,0,3,
28347,27.71,96368,17.98,29.60,421.22,220.215,589.355,842.285,-6.359,3.939,2.786,-4.500,10.800,58.950,0,0,0.00,0.00,0.00,0,4,
29935,27.72,96367,17.86,30.16,421.22,210.449,549.805,848.144,2.000,0.924,-1.405,-5.250,8.100,58.950,0,0,0.00,0.00,0.00,0,5,
31511,27.73,96368,18.00,30.55,421.22,290.039,534.180,819.336,-1.450,2.214,0.824,-4.950,14.700,58.200,0,0,0.00,0.00,0.00,0,5,
33088,27.75,96367,18.27,31.09,421.22,267.090,665.527,719.726,-12.893,4.702,-3.313,-3.750,19.950,55.650,0,0,0.00,0.00,0.00,0,6,
34665,27.77,96367,18.22,31.73,421.22,299.805,628.418,783.203,5.916,1.008,-1.580,-9.000,15.000,58.950,0,0,0.00,0.00,0.00,0,7,
36243,27.78,96367,18.33,32.54,421.22,352.539,555.176,847.168,-1.435,5.046,3.565,-8.100,15.600,58.350,0,0,0.00,0.00,0.00,0,8,
37819,27.82,96368,17.71,33.53,421.22,213.867,301.758,962.891,-7.214,10.611,-3.183,-1.650,2.400,62.250,0,0,0.00,0.00,0.00,0,9,
39396,27.83,96366,17.09,34.41,421.30,384.766,556.152,805.176,11.802,-3.427,-9.183,-12.150,11.700,59.850,0,0,0.00,0.00,0.00,0,10,
40973,27.83,96366,16.46,34.93,421.39,349.121,586.426,767.578,1.649,4.473,-3.466,-12.900,11.700,59.100,1,0,0.00,0.00,0.00,0,11,
42553,27.83,96365,15.87,35.64,421.30,323.242,582.520,793.945,-2.672,5.137,-0.298,-11.250,12.300,61.200,0,0,0.00,0.00,0.00,0,12,
44130,27.84,96367,15.36,36.07,421.30,271.484,591.797,813.476,4.275,13.427,2.122,-5.550,12.900,60.300,0,0,0.00,0.00,0.00,0,13,
45706,27.84,96365,14.94,36.74,421.48,271.973,674.316,692.871,-7.504,11.924,9.794,-2.700,23.400,52.800,0,0,0.00,0.00,0.00,0,14,
47283,27.84,96365,14.71,37.49,421.39,277.832,737.305,571.777,-20.618,8.427,29.061,-2.850,27.750,51.150,0,0,0.00,0.00,0.00,0,15,
48862,27.84,96364,14.28,38.00,421.39,208.008,728.027,723.144,1.695,5.992,3.374,4.200,27.600,50.550,0,0,0.00,0.00,0.00,0,16,
50438,27.84,96364,14.04,38.38,421.56,134.277,747.070,712.402,10.405,1.710,3.763,4.350,26.700,50.100,0,0,0.00,0.00,0.00,0,17,
52013,27.85,96362,13.80,38.81,421.56,261.230,760.254,557.617,12.260,8.290,-32.160,-7.650,29.700,49.650,0,0,0.00,0.00,0.00,0,18,
53591,27.86,96363,13.65,39.14,421.56,431.641,700.195,389.160,14.687,-4.374,4.878,-9.750,34.500,46.650,8,0,0.00,0.00,0.00,0,19,
55169,27.88,96364,13.63,39.58,421.48,277.832,915.039,329.102,-0.145,3.435,-4.374,-7.350,36.600,43.200,6,0,0.00,0.00,0.00,0,19,
56745,27.89,96365,13.39,39.92,421.48,246.582,920.410,327.637,-0.931,-4.023,1.832,-4.350,36.150,44.250,7,0,0.00,0.00,0.00,0,20,
58319,27.91,96364,13.30,40.04,421.48,332.519,425.781,938.965,-17.252,10.908,-2.504,-3.450,13.500,57.900,0,0,0.00,0.00,0.00,0,20,
59896,27.93,96365,13.26,40.42,421.48,208.008,575.684,855.957,-2.313,-0.924,-2.458,1.800,17.850,56.550,0,0,0.00,0.00,0.00,0,20,
61476,27.95,96364,13.20,40.89,421.56,115.234,662.109,787.598,-0.947,0.519,2.008,4.200,21.150,53.850,0,0,0.00,0.00,0.00,0,20,
63053,27.96,96363,13.14,41.63,421.56,72.266,616.211,779.297,-5.809,3.740,-9.687,5.700,17.700,53.550,0,0,0.00,0.00,0.00,0,20,
64629,27.98,96363,13.06,41.79,421.56,83.984,610.840,824.707,-4.244,-6.099,4.229,5.100,15.900,54.750,0,0,0.00,0.00,0.00,0,20,
66206,27.99,96364,13.04,41.83,421.56,159.180,550.293,840.820,-3.282,-1.252,0.840,2.850,13.650,57.750,1,0,0.00,0.00,0.00,0,20,
67786,28.00,96363,13.07,42.00,421.56,218.262,620.117,783.203,1.908,7.992,0.962,-2.400,17.250,56.100,0,0,0.00,0.00,0.00,0,20,
69363,28.01,96364,13.14,42.69,421.48,195.312,535.156,829.101,-3.015,-2.046,1.725,3.000,16.200,56.100,0,0,0.00,0.00,0.00,0,20,
70939,28.01,96364,13.16,43.48,421.48,176.758,504.883,859.375,0.977,-3.229,-1.931,2.850,15.600,57.750,0,0,0.00,0.00,0.00,0,20,
72514,28.02,96364,13.14,43.75,421.48,68.359,481.445,913.086,-1.817,2.198,-25.809,3.750,6.300,58.200,0,0,0.00,0.00,0.00,0,20,
74090,28.02,96364,13.14,44.22,421.48,104.004,417.480,972.656,-21.160,19.252,9.580,7.500,6.300,56.850,0,0,0.00,0.00,0.00,0,20,
75671,28.03,96363,13.24,44.54,421.56,105.469,295.898,964.844,1.206,5.679,-6.504,6.600,1.500,59.550,0,0,0.00,0.00,0.00,0,20,
77247,28.03,96364,12.96,44.54,421.39,15.625,264.160,1000.488,2.458,2.046,-2.405,7.950,0.450,59.700,0,0,0.00,0.00,0.00,0,20,
78823,28.04,96365,12.92,44.97,421.48,99.609,312.988,1041.016,-3.153,9.382,1.412,5.250,1.650,60.750,0,0,0.00,0.00,0.00,0,20,
80400,28.05,96364,12.92,44.88,421.48,-61.523,212.402,1006.836,-10.443,8.740,-0.542,8.850,-4.500,59.550,0,0,0.00,0.00,0.00,0,20,
81988,28.05,96365,12.94,45.31,421.48,-141.113,76.172,997.070,9.130,11.137,6.603,13.950,-6.750,55.800,0,1,0.73,0.01,0.01,0,20,
83564,28.06,96364,12.97,45.36,421.48,17.578,163.086,1047.363,-0.038,7.718,-5.420,7.950,-3.600,59.250,0,1,0.72,0.01,0.01,0,20,
85141,28.07,96366,13.04,45.81,421.39,-43.457,180.176,1031.738,-0.763,10.420,-5.542,10.500,-4.650,60.450,0,1,0.71,0.01,0.01,0,20,
86718,28.08,96365,13.11,45.81,421.39,-7.812,136.719,1059.570,0.405,-1.916,-3.496,9.600,-4.200,57.750,0,1,0.69,0.01,0.01,0,20,
88298,28.09,96365,13.18,45.96,421.39,-21.973,135.742,1028.809,-4.092,0.603,-8.924,8.850,-5.700,58.800,0,1,0.68,0.01,0.01,0,20,
89873,28.09,96364,13.24,46.37,421.48,-39.062,141.602,1070.801,5.290,5.656,1.863,7.500,-5.400,58.950,1,1,0.67,0.01,0.01,0,20,
91448,28.10,96363,13.29,46.42,421.56,-109.863,170.898,994.629,-1.489,0.908,-2.221,11.100,-3.000,57.750,0,2,1.31,0.02,0.02,0,20,
93025,28.11,96362,13.33,46.63,421.56,-81.055,145.020,1052.246,-3.031,2.565,1.145,11.550,-6.300,57.900,0,2,1.29,0.02,0.02,0,20,
94605,28.12,96363,13.38,46.99,421.56,-221.191,160.645,1099.121,3.931,-3.969,2.603,13.650,-6.750,53.700,0,2,1.27,0.02,0.02,0,20,
96182,28.12,96363,13.44,47.63,421.56,-133.301,113.770,1019.043,2.962,4.679,3.099,11.400,-9.150,57.000,0,2,1.25,0.02,0.02,0,20,
97759,28.13,96364,13.29,47.85,421.56,-114.258,113.770,1081.543,-0.771,1.260,1.893,10.050,-7.800,57.900,0,2,1.23,0.02,0.02,0,20,
99336,28.13,96364,13.20,48.91,421.56,-119.629,103.516,1031.738,-2.626,0.863,1.603,13.950,-6.750,55.500,0,2,1.21,0.02,0.02,0,20,
100916,28.13,96363,13.09,49.17,421.39,-153.320,85.449,997.070,2.107,1.313,0.412,14.700,-7.500,55.800,0,2,1.19,0.02,0.02,0,20,
102491,28.14,96364,12.99,49.40,421.48,-125.977,113.770,1027.832,-1.840,6.031,2.489,13.950,-4.950,57.000,0,2,1.17,0.02,0.02,0,20,
104068,28.15,96364,12.89,49.61,421.48,-132.324,121.094,1013.672,0.489,-7.344,1.084,15.600,-4.650,54.600,0,2,1.15,0.02,0.02,0,20,
105645,28.16,96364,12.83,49.14,421.48,-131.836,110.352,1025.391,-0.481,5.137,3.595,12.750,-5.850,55.350,0,2,1.14,0.02,0.02,0,20,
107226,28.16,96364,12.78,49.05,421.48,-32.715,154.785,1020.019,-3.023,1.679,-3.809,11.100,-3.000,57.750,0,2,1.12,0.02,0.01,0,20,
108803,28.17,96365,12.75,48.68,421.39,-103.027,61.035,1028.809,-6.099,3.290,-2.137,12.450,-6.000,56.250,1,2,1.10,0.02,0.01,0,20,
110380,28.17,96363,12.72,47.34,421.48,-13.672,104.492,1031.738,-7.588,2.824,0.267,11.850,-6.750,59.100,0,2,1.09,0.02,0.01,0,20,
111956,28.18,96363,12.70,46.57,421.48,159.180,66.406,1007.324,-3.748,-0.473,-3.038,8.700,-5.850,58.650,0,2,1.07,0.02,0.01,0,20,
113538,28.18,96363,12.66,46.01,421.56,102.051,43.945,1017.578,-3.198,6.733,-5.840,4.350,-7.200,60.900,0,2,1.06,0.02,0.01,0,20,
115113,28.19,96363,12.62,45.56,421.56,72.266,13.184,1045.410,-33.397,14.420,17.947,-0.900,-9.300,59.700,1,2,1.04,0.02,0.01,0,20,
116688,28.20,96363,12.87,45.07,421.65,306.152,-25.391,993.164,-4.267,9.962,-2.885,-5.250,-12.000,60.750,0,2,1.03,0.02,0.01,0,20,
118265,28.21,96362,12.64,43.85,421.65,-23.926,64.453,1138.672,-2.519,12.878,-0.832,-6.000,-12.300,60.000,0,2,1.02,0.02,0.01,0,20,
119846,28.22,96361,12.63,43.30,421.74,177.734,28.809,1019.043,8.641,5.214,-4.748,-1.200,-12.750,58.650,0,2,1.00,0.02,0.01,0,20,
121423,28.22,96360,12.64,43.17,421.82,253.418,43.945,1009.766,6.046,4.191,-3.290,-2.550,-12.150,60.300,0,2,0.99,0.02,0.01,0,20,
123000,28.23,96360,12.67,43.26,421.74,307.617,39.062,989.746,10.122,-23.458,-12.237,-7.350,-11.700,60.300,0,2,0.98,0.02,0.01,0,20,
124577,28.23,96361,12.71,43.26,421.74,276.855,81.543,984.863,-0.412,2.565,-1.053,-7.350,-11.700,59.850,1,2,0.96,0.02,0.01,0,20,
126157,28.24,96360,12.76,43.21,421.74,337.891,82.031,978.027,-5.969,-2.916,-5.969,-9.900,-10.950,60.900,0,2,0.95,0.02,0.01,0,20,
127734,28.25,96359,12.80,43.57,421.91,235.352,158.203,1013.184,-0.893,4.794,-1.748,-6.900,-11.700,59.550,0,2,0.94,0.02,0.01,0,20,
129311,28.26,96358,12.87,44.17,422.00,259.277,146.973,999.512,-8.687,1.008,-0.450,-8.250,-9.600,61.500,0,2,0.93,0.02,0.01,0,20,
130888,28.26,96358,12.93,44.93,422.00,238.281,106.934,1007.324,0.618,11.695,11.374,-7.200,-12.300,59.250,0,2,0.92,0.02,0.01,0,20,
132476,28.27,96359,13.03,46.01,421.82,282.715,40.527,982.910,1.191,-0.969,-1.649,-8.400,-12.900,61.650,0,2,0.91,0.02,0.01,0,20,
134053,28.28,96359,13.17,46.57,421.82,284.180,117.187,1001.953,-0.122,-11.985,-1.153,-9.000,-11.550,60.000,0,3,1.34,0.03,0.01,0,20,
135630,28.28,96360,13.29,47.23,421.82,286.621,60.547,983.398,-4.511,12.939,2.664,-6.450,-13.050,59.250,0,3,1.33,0.03,0.01,0,20,
137207,28.30,96360,13.44,47.04,421.82,284.668,-58.105,960.449,-0.450,-12.511,-5.916,-3.750,-12.750,58.950,0,3,1.31,0.02,0.01,0,20,
138788,28.30,96360,13.55,46.06,421.74,230.957,-15.625,953.613,-30.015,14.916,-7.969,-6.150,-12.900,61.350,0,3,1.30,0.02,0.01,0,20,
140365,28.31,96361,13.65,44.88,421.74,247.559,30.762,1027.344,-0.832,-5.084,8.038,-5.100,-14.400,59.850,0,3,1.28,0.02,0.01,0,20,
141942,28.32,96361,13.73,44.12,421.74,223.145,8.789,927.246,-0.763,9.366,-7.328,-5.700,-16.950,59.700,0,3,1.27,0.02,0.01,0,20,
143519,28.32,96361,13.79,43.62,421.82,161.133,80.078,994.629,3.389,-3.092,1.534,-3.600,-15.150,58.800,0,3,1.26,0.02,0.01,0,20,
145100,28.33,96360,13.82,43.21,421.91,202.637,31.738,988.769,-4.321,-2.802,8.130,-0.450,-16.200,58.650,0,4,1.66,0.03,0.02,0,20,
146676,28.34,96359,13.86,42.60,420.52,175.781,20.020,1000.000,-10.023,-6.763,5.527,-5.100,-15.600,60.600,0,4,1.64,0.03,0.02,0,20,
148251,28.34,96369,13.87,42.38,421.22,131.836,21.973,1064.453,-4.924,2.511,5.160,-3.000,-14.700,59.700,0,4,1.62,0.03,0.02,0,20,
149828,28.35,96364,13.87,42.13,421.48,116.699,-31.738,949.707,-9.115,-12.626,6.489,-6.600,-16.350,60.600,0,5,2.00,0.04,0.02,0,20,
151409,28.36,96362,13.86,42.09,421.74,334.473,25.391,1055.176,-14.985,-9.466,2.061,-2.400,-16.200,59.250,0,5,1.98,0.04,0.02,0,20,
152986,28.36,96360,13.85,41.79,421.82,118.652,-20.020,995.605,-18.122,8.092,1.542,-3.000,-15.000,60.750,0,6,2.36,0.04,0.02,0,20,
154563,28.37,96360,13.84,41.58,421.74,257.812,-49.316,1011.230,-5.397,-1.794,-3.237,-7.350,-15.900,60.300,0,6,2.33,0.04,0.02,0,20,
156144,28.38,96359,13.83,41.67,421.82,237.793,-20.508,1026.367,-9.733,-7.412,-0.038,-3.600,-16.350,59.100,1,6,2.31,0.04,0.02,0,20,
157721,28.39,96360,13.84,41.79,421.74,141.113,-3.906,1006.348,-4.824,-1.191,-0.489,-3.300,-14.850,60.600,0,6,2.28,0.04,0.02,0,20,
159298,28.39,96360,13.83,41.75,421.82,257.812,18.555,1158.691,4.603,22.229,0.298,-3.000,-15.450,61.200,0,6,2.26,0.04,0.02,0,20,
160874,28.40,96360,13.82,42.00,421.74,228.027,-16.113,1040.039,1.046,15.672,-9.985,-4.350,-16.800,59.850,0,6,2.24,0.04,0.02,0,20,
162453,28.41,96359,13.83,42.04,422.00,219.727,22.461,978.516,-17.527,-10.168,-2.603,-6.150,-15.900,62.100,0,7,2.59,0.05,0.02,0,20,
164030,28.41,96359,13.83,42.25,421.91,164.062,-58.594,947.754,15.176,-1.023,-2.183,-2.850,-17.550,58.800,0,7,2.56,0.05,0.02,0,20,
165607,28.42,96359,13.83,42.25,421.91,264.648,-7.812,991.699,-2.351,-3.160,-2.427,-8.700,-16.200,61.500,0,7,2.54,0.05,0.02,0,20,
167182,28.43,96359,13.84,42.60,421.82,170.410,-53.223,928.223,-0.931,-26.817,-5.198,-3.300,-16.350,59.550,0,7,2.51,0.05,0.02,0,20,
168763,28.44,96363,14.06,42.77,421.56,104.492,-54.687,1093.262,-0.344,5.145,-17.053,2.400,-19.650,58.950,0,7,2.49,0.05,0.02,0,20,
170340,28.45,96362,13.85,43.39,421.65,41.504,-94.238,1020.508,10.924,4.634,3.550,0.600,-18.600,58.050,0,7,2.47,0.05,0.02,0,20,
171917,28.46,96361,13.84,43.71,421.74,160.156,-83.496,1026.367,-5.908,-4.954,12.916,-1.950,-19.200,58.950,0,7,2.45,0.05,0.02,0,20,
173494,28.46,96360,13.84,43.94,421.74,41.992,-104.980,1031.738,1.061,3.649,0.359,0.900,-21.450,57.150,0,7,2.42,0.05,0.02,0,20,
175074,28.47,96362,13.85,44.40,421.74,127.441,15.625,1038.574,8.611,-34.992,16.198,3.750,-15.450,60.000,0,7,2.40,0.05,0.02,0,20,
176651,28.48,96362,13.86,44.54,421.65,241.211,45.898,1028.809,18.809,8.664,2.061,0.300,-14.400,63.450,0,7,2.38,0.04,0.02,0,20,
178228,28.49,96362,13.84,44.88,421.65,215.332,-87.891,996.582,1.534,7.168,12.084,-0.300,-13.350,63.450,0,7,2.36,0.04,0.02,0,20,
179804,28.49,96362,13.84,45.07,421.65,5.859,113.770,989.746,-19.916,47.679,-5.099,1.200,-9.300,63.300,0,7,2.34,0.04,0.02,0,20,
181391,28.50,96362,13.85,45.61,421.65,127.441,73.242,996.094,9.481,-2.534,5.504,0.600,-9.900,60.600,0,7,2.32,0.04,0.02,0,20,
182966,28.51,96362,13.81,45.76,421.56,177.246,87.891,1010.254,-5.275,-17.053,0.756,1.350,-9.150,62.100,0,7,2.30,0.04,0.02,0,20,
184543,28.52,96364,13.79,45.76,421.48,229.004,44.434,996.582,-12.786,-11.947,3.198,-2.850,-13.650,62.400,0,7,2.28,0.04,0.02,0,20,
186120,28.53,96363,13.81,46.06,421.56,173.828,1.465,1028.809,6.916,11.168,8.588,-2.550,-15.150,61.350,0,8,2.58,0.05,0.02,0,20,
187700,28.55,96362,13.75,46.37,421.65,218.262,66.895,1080.078,-1.489,8.481,-7.397,-2.700,-12.000,62.250,0,8,2.56,0.05,0.02,0,20,
189277,28.56,96362,13.72,46.78,421.65,210.449,77.148,990.234,-0.809,-1.656,-4.031,-5.550,-10.950,62.100,0,8,2.54,0.05,0.02,0,20,
190854,28.56,96362,13.70,46.94,421.65,295.410,66.895,971.191,-10.595,-12.885,8.603,-7.950,-12.000,63.000,0,10,3.15,0.06,0.02,0,20,
192431,28.57,96361,13.69,46.99,421.74,4.883,59.082,1049.316,-14.847,0.718,45.214,5.850,-8.700,58.800,0,10,3.12,0.06,0.02,1,20,
194012,28.58,96362,13.68,47.34,421.65,-125.000,-163.574,1007.812,61.656,4.641,91.893,12.900,-3.750,56.250,0,10,3.10,0.06,0.02,0,20,
195589,28.59,96363,13.66,47.39,421.56,-334.961,-253.906,1102.051,-89.321,38.069,-67.611,8.100,-8.700,57.000,0,10,3.07,0.06,0.02,0,20,
197166,28.60,96363,13.64,47.55,421.48,164.551,-103.027,962.402,0.145,-1.481,4.939,-16.800,-21.900,52.350,0,10,3.05,0.06,0.02,0,20,
198743,28.61,96364,13.64,48.07,421.48,196.289,-129.883,1032.715,-4.336,4.244,-1.092,-16.350,-25.350,54.300,0,10,3.02,0.06,0.02,0,20,
200324,28.63,96365,13.62,48.37,421.39,187.988,-83.984,1036.133,1.618,-2.321,2.206,-16.650,-23.250,54.750,0,10,3.00,0.06,0.02,0,20,
201901,28.63,96366,13.61,48.71,421.30,11.719,1.953,1070.801,-11.687,-2.901,-76.221,-28.800,-13.650,58.800,0,12,3.57,0.07,0.02,0,20,
203478,28.64,96364,13.59,49.20,421.48,-15.625,90.332,845.215,-5.542,56.466,6.802,1.050,-11.400,64.650,0,13,3.84,0.07,0.02,0,20,
205052,28.65,96363,13.55,49.84,421.48,13.184,55.664,1038.574,-6.031,-2.229,-4.725,6.150,-17.850,64.650,0,13,3.81,0.07,0.02,0,20,
206631,28.65,96364,13.51,50.02,421.48,-23.926,235.352,990.723,9.824,-1.611,-5.992,-4.800,-15.600,66.000,0,13,3.78,0.07,0.02,0,20,
208208,28.66,96364,13.45,50.29,421.48,-351.562,-127.930,962.402,15.053,24.420,16.908,25.350,-17.700,47.700,0,13,3.75,0.07,0.02,0,20,
209785,28.67,96363,13.41,50.97,421.56,244.141,-12.695,1014.160,3.359,18.481,7.863,0.600,-17.550,62.400,0,13,3.72,0.07,0.02,0,20,
211360,28.68,96362,13.37,51.25,421.56,-0.977,-6.836,1026.367,-8.985,-2.229,16.954,11.850,-11.700,62.400,0,14,3.98,0.07,0.02,0,20,
212939,28.69,96363,13.34,51.21,421.56,497.070,24.902,907.226,-6.840,4.817,-3.954,-8.100,2.550,70.050,0,15,4.23,0.08,0.02,0,20,
214516,28.70,96363,13.29,51.88,421.56,-42.969,-68.848,1052.734,-5.191,0.740,-9.122,12.300,-13.050,63.750,0,15,4.20,0.08,0.02,0,20,
216093,28.71,96363,13.26,51.88,421.56,-9.277,-104.492,1017.578,-0.237,3.756,0.458,13.200,-16.350,62.400,0,15,4.17,0.08,0.02,0,20,
217670,28.72,96362,13.24,52.40,421.65,-68.359,-50.781,1011.719,0.924,2.084,-5.695,15.150,-11.400,63.150,0,15,4.14,0.08,0.02,0,20,
219249,28.73,96361,13.22,52.73,421.74,-2.441,-134.766,1079.590,-4.038,0.908,-2.382,12.300,-13.500,63.300,0,15,4.11,0.08,0.02,0,20,
220824,28.74,96361,13.20,52.73,421.65,181.641,-85.937,1010.742,-12.542,-12.992,-9.168,6.000,-16.200,71.700,0,15,4.08,0.08,0.02,0,20,
222402,28.75,96362,13.17,52.83,421.56,-99.121,-189.453,1011.230,8.183,-3.359,9.679,16.950,-16.800,56.250,0,15,4.05,0.08,0.02,0,20,
223980,28.75,96363,13.15,53.03,421.56,-200.684,-29.785,1002.930,-13.840,-7.282,-24.427,23.100,-3.600,56.850,0,15,4.02,0.08,0.02,0,20,
225560,28.76,96362,13.12,53.00,421.74,51.758,-212.891,953.613,-11.282,11.573,4.366,12.750,-15.750,61.500,0,15,3.99,0.08,0.02,0,20,
227135,28.77,96362,13.08,52.47,421.65,-89.355,63.477,954.101,27.176,21.924,-11.153,19.200,0.000,61.650,0,15,3.97,0.07,0.02,0,20,
228710,28.77,96361,13.07,51.91,421.74,61.035,17.090,1029.785,-11.321,-9.084,-25.473,10.050,-13.800,64.050,0,15,3.94,0.07,0.02,0,20,
230287,28.78,96361,13.02,51.12,421.65,82.031,44.922,1026.367,-13.214,-7.664,-0.710,7.950,-12.750,63.750,0,15,3.91,0.07,0.02,0,20,
231876,28.78,96362,12.98,50.66,421.56,-158.691,10.742,1239.746,-7.382,-1.939,-9.122,6.450,-14.700,63.750,0,16,4.14,0.08,0.02,0,20,
233453,28.79,96362,12.95,50.44,421.65,7.324,0.977,1045.898,4.878,19.679,-12.260,8.400,-13.350,63.900,0,16,4.11,0.08,0.02,0,20,
235029,28.80,96362,12.95,50.29,421.56,-139.160,-0.488,1106.445,11.794,7.489,-3.183,10.350,-15.600,61.350,0,16,4.09,0.08,0.02,0,20,
236603,28.81,96363,12.91,50.53,421.65,-136.230,-98.145,1015.137,-8.076,2.046,-3.595,13.500,-15.450,60.450,0,16,4.06,0.08,0.02,0,20,
238183,28.82,96363,12.89,50.08,421.56,-28.809,-458.496,907.715,-37.985,-1.847,-19.885,12.450,-32.400,48.600,0,16,4.03,0.08,0.02,0,20,
239759,28.83,96363,12.88,50.23,421.56,-102.051,-473.144,854.980,-5.260,4.511,4.557,16.350,-34.500,46.650,1,16,4.01,0.08,0.02,0,20,
241336,28.83,96362,12.89,50.08,421.65,-73.730,-458.496,944.336,-0.313,-5.656,-6.786,13.950,-30.900,50.400,0,16,3.98,0.08,0.02,0,20,
242913,28.84,96361,12.89,50.05,421.65,-19.043,-281.738,1035.156,2.733,4.382,-3.588,10.500,-28.350,53.550,0,16,3.95,0.07,0.02,0,20,
244494,28.85,96361,12.95,49.93,421.65,-32.227,-299.805,992.187,-9.954,-7.389,2.649,10.650,-27.450,53.700,0,16,3.93,0.07,0.02,0,20,
246071,28.86,96362,12.91,50.44,421.65,111.328,-196.777,994.141,20.878,22.565,-0.817,3.750,-26.550,58.200,1,16,3.90,0.07,0.02,0,20,
247648,28.87,96362,12.88,50.60,421.56,-112.793,-37.109,1015.137,2.458,-1.153,1.099,10.050,-17.700,61.200,0,16,3.88,0.07,0.02,0,20,
249225,28.88,96362,12.92,51.31,421.65,20.508,-28.320,1039.062,-12.504,0.695,0.397,9.900,-17.550,61.350,0,16,3.85,0.07,0.02,0,20,
250800,28.89,96362,12.83,51.91,421.65,-75.195,-100.098,1034.668,2.313,6.908,7.000,10.350,-20.550,59.100,0,16,3.83,0.07,0.02,0,20,
252377,28.90,96361,12.83,52.04,421.74,15.625,-176.270,1034.668,-6.626,-5.962,-8.504,6.450,-24.900,59.250,0,16,3.81,0.07,0.02,0,20,
253954,28.91,96362,12.87,52.56,421.65,144.531,-162.109,1006.836,3.473,-9.954,-4.809,6.150,-26.700,62.400,0,17,4.02,0.08,0.02,0,20,
255535,28.93,96362,12.72,52.70,421.65,-68.359,375.488,1043.457,8.313,0.122,-15.275,7.350,-1.050,61.650,0,17,3.99,0.08,0.02,0,20,
257112,28.93,96361,12.69,52.93,421.65,-79.102,64.453,1025.879,4.008,11.198,0.542,8.700,-11.250,62.250,0,17,3.97,0.07,0.02,0,20,
258689,28.94,96362,12.67,52.83,421.56,-48.340,38.086,1037.109,1.298,4.977,-1.954,7.950,-13.500,61.500,0,17,3.95,0.07,0.02,0,20,
260265,28.95,96361,12.66,52.80,421.74,-81.055,-150.391,1042.969,-15.099,-2.183,-6.336,12.300,-19.950,55.650,0,17,3.92,0.07,0.02,0,20,
261847,28.96,96361,12.66,52.66,421.56,-79.590,-85.937,1037.598,0.947,3.130,-5.885,11.550,-18.000,57.150,0,17,3.90,0.07,0.02,0,20,
263424,28.97,96362,12.65,52.90,421.56,-194.824,-13.184,1062.500,6.809,13.344,0.656,14.850,-13.500,57.900,0,17,3.87,0.07,0.02,0,20,
